geoid (zcta),state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
03223,nh,-71.68157,43.84969,3172,0,1,1,NA
03224,nh,-71.55092,43.34987,1659,1,4,3,300
03225,nh,-71.23805,43.3584,2834,1,3,2,200
03226,nh,-71.51123,43.70404,1021,1,3,2,200
03227,nh,-71.46773,43.82769,21,0,2,2,NA
03229,nh,-71.69676,43.19789,3032,1,5,4,400
03230,nh,-71.87149,43.52595,1202,1,2,1,100
03231,nh,-71.75671,43.46652,169,1,3,2,200
03233,nh,-71.93313,43.42522,93,1,3,2,200
03234,nh,-71.33906,43.21492,2217,1,4,3,300
03235,nh,-71.67181,43.44836,3329,1,4,3,300
03237,nh,-71.38204,43.42965,2043,1,2,1,100
03238,nh,-71.89868,43.98287,52,0,1,1,NA
03240,nh,-71.97227,43.57597,1444,0,2,2,NA
03241,nh,-71.8198,43.72169,918,1,2,1,100
03242,nh,-71.8224,43.17359,1916,1,3,2,200
03243,nh,-71.76468,43.52492,720,1,3,2,200
03244,nh,-71.91862,43.11791,5266,1,3,2,200
03245,nh,-71.58781,43.74999,1336,1,3,2,200
03246,nh,-71.47748,43.5727,6250,1,3,2,200
03249,nh,-71.385,43.55787,4211,1,2,1,100
03251,nh,-71.57276,44.08542,2087,0,0,0,NA
03253,nh,-71.49962,43.63071,5492,1,3,2,200
03254,nh,-71.3777,43.72492,6454,1,3,2,200
03255,nh,-72.02625,43.31474,2449,1,3,2,200
03256,nh,-71.63356,43.62433,1661,1,3,2,200
03257,nh,-71.99059,43.41692,2707,1,3,2,200
03258,nh,-71.39921,43.25749,853,1,5,4,400
03259,nh,-71.39651,43.87213,6,1,3,2,200
03260,nh,-71.92171,43.35363,790,1,3,2,200
03261,nh,-71.2097,43.2134,2820,1,5,4,400
03262,nh,-71.73798,43.99914,1143,0,2,2,NA
03263,nh,-71.31102,43.29473,1803,1,4,3,300
03264,nh,-71.71125,43.72979,2169,1,2,1,100
03266,nh,-71.8961,43.7904,2290,0,1,1,NA
03268,nh,-71.75659,43.38648,799,1,4,3,300
03269,nh,-71.60142,43.52786,2115,1,3,2,200
03273,nh,-71.93204,43.29898,361,1,3,2,200
03275,nh,-71.41797,43.1602,3741,2,5,3,150
03276,nh,-71.57503,43.42784,3681,1,3,2,200
03278,nh,-71.82597,43.29328,1999,1,4,3,300
03279,nh,-71.88136,43.94315,750,0,1,1,NA
03280,nh,-72.08932,43.18286,1603,0,2,2,NA
03281,nh,-71.72191,43.08125,4279,1,4,3,300
03282,nh,-71.92952,43.86015,864,0,2,2,NA
03284,nh,-72.03075,43.4928,904,0,2,2,NA
03285,nh,-71.64355,43.92406,2132,0,2,2,NA
03287,nh,-71.91671,43.44511,19,1,2,1,100
03290,nh,-71.12077,43.12462,2566,3,8,5,166.7
03291,nh,-71.14261,43.17917,20,2,7,5,250
03293,nh,-71.67829,43.97008,132,0,2,2,NA
03301,nh,-71.54338,43.22433,9871,2,6,4,200
03303,nh,-71.67186,43.29816,5230,2,5,3,150
03304,nh,-71.53071,43.13078,3146,1,5,4,400
03307,nh,-71.44365,43.32542,2286,1,4,3,300
03431,nh,-72.29551,42.96263,7882,1,4,3,300
03440,nh,-71.98229,43.05406,1870,1,3,2,200
03441,nh,-72.43851,42.77999,208,1,4,3,300
03442,nh,-71.90817,43.01242,835,1,2,1,100
03443,nh,-72.46157,42.87709,475,1,2,1,100
03444,nh,-72.0723,42.89429,1093,1,2,1,100
03445,nh,-72.21303,43.01438,506,0,2,2,NA
