tract,state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
001950100,tx,-95.55357,31.97153,5106,61,89,28,45.9
001950401,tx,-95.82026,31.7376,46,67,94,27,40.3
001950402,tx,-95.91526,31.79757,15,69,95,26,37.7
001950500,tx,-95.64216,31.78803,2295,62,90,28,45.2
001950600,tx,-95.6694,31.75081,3168,61,89,28,45.9
001950700,tx,-95.63461,31.75044,1942,63,91,28,44.4
001950800,tx,-95.61459,31.73926,2176,63,91,28,44.4
001950901,tx,-95.73594,31.71886,3383,63,91,28,44.4
001950902,tx,-95.51663,31.78842,4067,62,90,28,45.2
001951001,tx,-95.42517,31.6421,2957,63,91,28,44.4
001951002,tx,-95.63625,31.59608,2427,66,93,27,40.9
001951100,tx,-95.84279,31.92184,4353,64,91,27,42.2
003950100,tx,-102.71669,32.35873,2657,13,31,18,138.5
003950200,tx,-102.55387,32.32833,2841,14,33,19,135.7
003950300,tx,-102.54855,32.31442,2269,14,33,19,135.7
003950400,tx,-102.47313,32.1923,2258,14,33,19,135.7
005000102,tx,-94.87112,31.32733,2657,65,92,27,41.5
005000103,tx,-94.81029,31.4587,2113,61,88,27,44.3
005000104,tx,-94.89535,31.4225,2029,59,86,27,45.8
005000201,tx,-94.67232,31.30014,1641,68,94,26,38.2
005000202,tx,-94.67262,31.40093,2936,67,92,25,37.3
005000301,tx,-94.77483,31.37234,2629,65,91,26,40
005000302,tx,-94.78343,31.28144,2234,67,93,26,38.8
005000400,tx,-94.7529,31.34191,2573,67,93,26,38.8
005000500,tx,-94.73606,31.37054,2668,66,93,27,40.9
005000600,tx,-94.69627,31.34904,2996,68,94,26,38.2
005000700,tx,-94.72581,31.33651,1614,67,94,27,40.3
005000800,tx,-94.70616,31.31129,3237,68,94,26,38.2
005000902,tx,-94.72798,31.28258,1218,67,94,27,40.3
005000903,tx,-94.76243,31.31126,1238,66,93,27,40.9
005000904,tx,-94.73997,31.31817,1309,67,93,26,38.8
005001001,tx,-94.81086,31.20239,2286,69,95,26,37.7
005001002,tx,-94.70741,31.16607,2546,69,95,26,37.7
005001101,tx,-94.62704,31.2633,2207,69,95,26,37.7
005001102,tx,-94.56213,31.36802,2546,68,93,25,36.8
005001200,tx,-94.3556,31.14017,4773,69,94,25,36.2
005001300,tx,-94.52018,31.19509,5783,69,94,25,36.2
007950101,tx,-96.94445,28.14251,4419,84,107,23,27.4
007950102,tx,-97.04296,28.09963,2273,79,106,27,34.2
007950103,tx,-97.12745,28.07623,1601,76,103,27,35.5
007950200,tx,-97.02103,28.03537,1503,80,106,26,32.5
007950301,tx,-97.0679,28.03787,3026,79,105,26,32.9
007950302,tx,-97.05562,28.05314,1384,80,106,26,32.5
007950400,tx,-97.07091,28.01716,2390,78,104,26,33.3
007950501,tx,-97.16165,28.01839,1943,72,100,28,38.9
007950502,tx,-97.12857,27.93667,2050,66,97,31,47
007950503,tx,-97.07255,27.96158,2584,74,102,28,37.8
009020100,tx,-98.53357,33.79677,1515,57,77,20,35.1
009020200,tx,-98.77968,33.64713,2796,58,78,20,34.5
009020300,tx,-98.57427,33.52548,2665,58,79,21,36.2
011950100,tx,-101.3574,34.96493,6237,5,14,9,180
013960101,tx,-98.42927,29.05678,2128,86,109,23,26.7
013960102,tx,-98.30196,28.84619,3596,89,112,23,25.8
013960203,tx,-98.78888,29.21209,1485,71,97,26,36.6
013960204,tx,-98.74452,29.13629,2129,73,98,25,34.2
013960205,tx,-98.67094,29.07226,2856,75,100,25,33.3
013960206,tx,-98.57677,29.10801,2766,72,97,25,34.7
013960300,tx,-98.58098,29.03579,1566,83,106,23,27.7
013960401,tx,-98.51205,29.10853,1229,78,102,24,30.8
013960403,tx,-98.50018,28.94821,2039,91,113,22,24.2
013960404,tx,-98.51304,28.99234,1842,91,113,22,24.2
013960500,tx,-98.71223,28.82477,2836,84,108,24,28.6
013960601,tx,-98.60454,28.97358,1624,87,110,23,26.4
013960602,tx,-98.49431,28.76436,4550,91,114,23,25.3
015760100,tx,-96.10298,29.66415,1760,80,107,27,33.8
015760201,tx,-96.12667,29.82062,1444,79,106,27,34.2
015760202,tx,-96.09,29.74774,2223,80,107,27,33.8
015760301,tx,-96.23515,29.85412,1634,78,105,27,34.6
015760302,tx,-96.25492,29.76824,2938,80,107,27,33.8
015760400,tx,-96.45453,29.96097,3911,73,100,27,37
015760501,tx,-96.28303,30.02949,3182,74,101,27,36.5
015760502,tx,-96.17884,29.94196,2972,76,103,27,35.5
017950101,tx,-102.77932,34.22073,107,3,9,6,200
017950102,tx,-102.83096,34.06538,3153,3,9,6,200
019000101,tx,-99.10489,29.68062,5467,39,67,28,71.8
019000103,tx,-99.10452,29.77352,4457,37,65,28,75.7
019000104,tx,-98.93161,29.75989,1265,29,55,26,89.7
019000200,tx,-99.39345,29.77401,5704,25,50,25,100
019000301,tx,-99.00254,29.64957,5875,47,74,27,57.4
019000302,tx,-98.88196,29.67379,2232,33,59,26,78.8
019000400,tx,-98.95026,29.57969,5924,47,75,28,59.6
021950101,tx,-97.40417,30.24228,2549,68,94,26,38.2
021950102,tx,-97.26801,30.32452,2772,67,93,26,38.8
021950201,tx,-97.35902,30.35254,1543,66,93,27,40.9
021950202,tx,-97.38445,30.35457,2366,66,93,27,40.9
021950301,tx,-97.42836,30.15312,2819,67,94,27,40.3
021950302,tx,-97.36176,30.03372,2253,68,94,26,38.2
021950303,tx,-97.46478,30.10047,3094,65,92,27,41.5
021950401,tx,-97.30817,30.12428,2564,71,96,25,35.2
021950402,tx,-97.28955,30.08319,3760,72,97,25,34.7
021950403,tx,-97.32235,30.09287,3695,71,97,26,36.6
021950503,tx,-97.17485,30.13189,3252,70,96,26,37.1
021950504,tx,-97.17728,30.21714,2589,68,94,26,38.2
021950505,tx,-97.2683,30.23322,2058,70,96,26,37.1
021950506,tx,-97.32761,30.18048,1922,71,97,26,36.6
021950601,tx,-97.27904,29.92313,3217,67,93,26,38.8
021950602,tx,-97.11202,30.06884,3181,72,97,25,34.7
021950700,tx,-97.17096,30.01756,2734,72,98,26,36.1
021950803,tx,-97.55967,30.11864,927,63,89,26,41.3
021950804,tx,-97.50794,30.04504,2463,64,90,26,40.6
021950805,tx,-97.59031,30.05203,2344,63,89,26,41.3
021950806,tx,-97.45348,29.95445,1870,63,90,27,42.9
023950301,tx,-99.23083,33.59862,1299,54,74,20,37
023950302,tx,-99.21304,33.61698,4860,56,76,20,35.7
025950100,tx,-97.89787,28.60317,2283,77,102,25,32.5
025950201,tx,-97.55438,28.32488,693,81,107,26,32.1
025950203,tx,-97.84603,28.38305,2114,80,106,26,32.5
025950204,tx,-97.66754,28.45716,1936,77,103,26,33.8
