geoid,state_abbr,population,change_perc_above_100,lon,name,count_prop,lat,days_above_100_today,days_above_100_30yrs,change_days_above_100,geometry
07503,nj,19365,100,-74.15338,ZCTA5 07503,3579,40.89767,8,16,8,"list(c(-74.158306, -74.169895, -74.166356, -74.128481, -74.133499, -74.158306, 40.903819, 40.89676, 40.894679, 40.894133, 40.901949, 40.903819))"
15552,pa,5958,NA,-78.99182,ZCTA5 15552,4007,39.79392,0,1,1,"list(c(-79.170706, -79.171918, -79.071041, -79.053693, -79.015893, -78.9606568868381, -78.9031417574998, -78.8857209337465, -78.814882, -78.860251, -78.934102, -78.895647, -78.93461, -78.990395, -79.035748, -79.051091, -79.105081, -79.16828, -79.170706, 39.807261, 39.793954, 39.765956, 39.767274, 39.772373, 39.7228028384201, 39.722811182449, 39.7228336666687, 39.81699, 39.783595, 39.839129, 39.904833, 39.860462, 39.867201, 39.866767, 39.821644, 39.829607, 39.812368, 39.807261))"
17214,pa,856,150,-77.47122,ZCTA5 17214,539,39.74794,4,10,6,"list(c(-77.461536, -77.4816180650483, -77.469145, -77.4591346074925, -77.461536, 39.774268, 39.7200465482603, 39.720018, 39.7200171134891, 39.774268))"
18242,pa,344,200,-76.12432,ZCTA5 18242,763,40.91139,1,3,2,"list(c(-76.118398, -76.128054, -76.120852, -76.118398, 40.909832, 40.905093, 40.900327, 40.909832))"
15864,pa,1795,300,-79.19803,ZCTA5 15864,1342,41.10216,1,4,3,"list(c(-79.325409, -79.288185, -79.180547, -79.143914, -79.137149, -79.091907, -79.10323, -79.126844, -79.207561, -79.210198, -79.27794, -79.325409, 41.128038, 41.113135, 41.08791, 41.02503, 41.026202, 41.006915, 41.059133, 41.09859, 41.12771, 41.173663, 41.172437, 41.128038))"
07621,nj,28282,100,-73.99856,ZCTA5 07621,7517,40.92384,7,14,7,"list(c(-74.016409, -73.988611, -73.984405, -73.979972, -73.979699, -74.010854, -74.016409, 40.9146, 40.911704, 40.912052, 40.934179, 40.937013, 40.93635, 40.9146))"
16161,pa,581,175,-80.49582,ZCTA5 16161,523,41.19701,4,11,7,"list(c(-80.486625, -80.499001, -80.48962, -80.486625, 41.20279, 41.201466, 41.199783, 41.20279))"
16333,pa,245,NA,-78.92846,ZCTA5 16333,256,41.70339,0,1,1,"list(c(-78.951632, -78.952037, -78.910033, -78.950547, -78.951632, 41.751508, 41.732934, 41.766472, 41.779984, 41.751508))"
16365,pa,17423,100,-79.1583,ZCTA5 16365,9255,41.84174,1,2,1,"list(c(-79.275876, -79.252058, -79.303054, -79.251947, -79.192254, -79.191052, -79.115454, -78.991164, -78.95024, -78.951365, -79.054322, -79.062722, -79.193373, -79.253074, -79.284593, -79.275876, 41.873493, 41.837142, 41.740342, 41.699132, 41.735415, 41.800312, 41.822087, 41.816179, 41.78799, 41.891568, 41.891343, 41.910715, 41.910787, 41.933794, 41.921173, 41.873493))"
15752,pa,35,166.7,-79.28325,ZCTA5 15752,36,40.54059,3,8,5,"list(c(-79.280606, -79.284871, -79.282557, -79.280606, 40.538885, 40.539944, 40.538799, 40.538885))"
19017,pa,261,76.9,-75.46444,ZCTA5 19017,219,39.89087,13,23,10,"list(c(-75.477183, -75.469722, -75.450272, -75.477183, 39.892772, 39.885293, 39.893904, 39.892772))"
19118,pa,10743,90,-75.21246,ZCTA5 19118,2869,40.07267,10,19,9,"list(c(-75.227776, -75.232952, -75.214554, -75.189203, -75.221573, -75.227776, 40.088745, 40.083618, 40.05046, 40.073174, 40.091755, 40.088745))"
07856,nj,4033,133.3,-74.63347,ZCTA5 07856,1979,40.91864,3,7,4,"list(c(-74.653858, -74.656617, -74.636637, -74.63356, -74.61539, -74.636163, -74.653858, 40.926317, 40.892115, 40.893984, 40.894631, 40.930334, 40.942639, 40.926317))"
07632,nj,5358,133.3,-73.94675,ZCTA5 07632,2191,40.88225,6,14,8,"list(c(-73.949392, -73.96747, -73.9483355682933, -73.9271200274628, -73.949392, 40.900729, 40.868846, 40.8584457357065, 40.8954965426078, 40.900729))"
16851,pa,1234,100,-77.78713,ZCTA5 16851,401,40.82188,2,4,2,"list(c(-77.775593, -77.816881, -77.780603, -77.775593, 40.816657, 40.80367, 40.812338, 40.816657))"
17972,pa,11511,125,-76.20538,ZCTA5 17972,5537,40.58963,4,9,5,"list(c(-76.246802, -76.258482, -76.330435, -76.256008, -76.184, -76.155384, -76.191728, -76.204514, -76.110246, -76.125185, -76.128346, -76.180155, -76.19866, -76.246802, 40.614439, 40.58173, 40.51591, 40.517067, 40.535477, 40.544955, 40.567604, 40.571519, 40.630273, 40.68576, 40.692253, 40.637505, 40.624656, 40.614439))"
19503,pa,1154,100,-75.57691,ZCTA5 19503,498,40.40502,10,20,10,"list(c(-75.568945, -75.563813, -75.563463, -75.568945, 40.424695, 40.404684, 40.422609, 40.424695))"
08406,nj,9332,150,-74.48086,ZCTA5 08406,4934,39.34196,2,5,3,"list(c(-74.502382, -74.506431, -74.490535331856, -74.4641595427969, -74.501592, -74.502382, 39.356318, 39.344381, 39.3305143947749, 39.3429972490527, 39.357255, 39.356318))"
07108,nj,28267,112.5,-74.2002,ZCTA5 07108,4144,40.72311,8,17,9,"list(c(-74.215077, -74.217852, -74.193474, -74.183892, -74.184345, -74.215077, 40.729053, 40.721541, 40.713114, 40.72506, 40.727604, 40.729053))"
07723,nj,603,200,-74.00013,ZCTA5 07723,1256,40.25029,2,6,4,"list(c(-74.019689, -74.013811, -73.9933945723875, -73.9870578044889, -74.000174, -74.019689, 40.253485, 40.243414, 40.2373795283136, 40.2600811771617, 40.263357, 40.253485))"
08830,nj,17684,100,-74.31703,ZCTA5 08830,5499,40.56967,9,18,9,"list(c(-74.337175, -74.332086, -74.329924, -74.317277, -74.317021, -74.292711, -74.292881, -74.337175, 40.585776, 40.56628, 40.556723, 40.552568, 40.552691, 40.571525, 40.571725, 40.585776))"
07508,nj,23730,114.3,-74.18443,ZCTA5 07508,6849,40.95444,7,15,8,"list(c(-74.211933, -74.203678, -74.198877, -74.193304, -74.166816, -74.166938, -74.171141, -74.191798, -74.211933, 40.980167, 40.92495, 40.924748, 40.930468, 40.931361, 40.933987, 40.977066, 40.978564, 40.980167))"
18504,pa,20536,200,-75.69987,ZCTA5 18504,8763,41.42552,2,6,4,"list(c(-75.685954, -75.758563, -75.735769, -75.725119, -75.694159, -75.675062, -75.673141, -75.685954, 41.45843, 41.422721, 41.401389, 41.413255, 41.388042, 41.410657, 41.417623, 41.45843))"
15323,pa,3921,250,-80.40682,ZCTA5 15323,2553,40.10715,2,7,5,"list(c(-80.514737, -80.474182, -80.434194, -80.474876, -80.460709, -80.363916, -80.340805, -80.339599, -80.359361, -80.377269, -80.402532, -80.466405, -80.514737, 40.198222, 40.184076, 40.137073, 40.055755, 40.026928, 40.036692, 40.092235, 40.167045, 40.204512, 40.164042, 40.158618, 40.219061, 40.198222))"
08210,nj,17385,200,-74.82588,ZCTA5 08210,11925,39.11715,3,9,6,"list(c(-74.9192024748968, -74.90122, -74.883011, -74.85083, -74.825771, -74.781888, -74.790031, -74.718109, -74.708862, -74.762042, -74.8925155763609, -74.892547, -74.9192024748968, 39.0640091263185, 39.047082, 39.036598, 39.03082, 39.041541, 39.072526, 39.102508, 39.119514, 39.143074, 39.204699, 39.1643777382743, 39.113183, 39.0640091263185))"
07077,nj,3342,116.7,-74.25323,ZCTA5 07077,1034,40.55346,6,13,7,"list(c(-74.259896, -74.264593, -74.252895204777, -74.2347108779818, -74.259896, 40.562487, 40.542882, 40.5400713060128, 40.5604174392735, 40.562487))"
16950,pa,3309,NA,-77.53336,ZCTA5 16950,2653,41.90102,0,2,2,"list(c(-77.628493, -77.682708, -77.525758, -77.575392, -77.520378, -77.421026, -77.387949, -77.473845, -77.5146296637882, -77.6357157071023, -77.6532733634631, -77.628493, 41.92926, 41.876907, 41.88224, 41.808871, 41.776443, 41.838977, 41.910174, 41.908495, 42.0000209191574, 41.999383371487, 41.9992909261266, 41.92926))"
19536,pa,523,100,-75.75872,ZCTA5 19536,198,40.48043,4,8,4,"list(c(-75.758818, -75.759725, -75.748744, -75.754175, -75.758818, 40.485005, 40.475622, 40.481249, 40.483348, 40.485005))"
17322,pa,5938,114.3,-76.53265,ZCTA5 17322,2674,39.85593,7,15,8,"list(c(-76.45355, -76.477334, -76.579841, -76.65589, -76.646805, -76.648039, -76.531301, -76.505054, -76.498872, -76.513876, -76.456273, -76.404929, -76.45355, 39.937544, 39.90415, 39.855105, 39.854994, 39.828763, 39.816543, 39.79309, 39.804215, 39.825462, 39.853882, 39.906166, 39.915213, 39.937544))"
07823,nj,7814,125,-75.03653,ZCTA5 07823,3641,40.82796,4,9,5,"list(c(-75.0846021324952, -75.1113280423616, -75.071512, -75.027965, -75.01401, -74.961805, -74.982155, -75.020035, -75.0884271784036, -75.0846021324952, 40.8288543817634, 40.7899023140419, 40.775776, 40.779217, 40.831728, 40.837614, 40.879127, 40.874737, 40.832252423542, 40.8288543817634))"
07421,nj,7371,133.3,-74.36329,ZCTA5 07421,4016,41.1657,3,7,4,"list(c(-74.43121, -74.417654, -74.347171, -74.323366, -74.2800046346765, -74.2807460598153, -74.3426253301021, -74.4003192137145, -74.392789, -74.43121, 41.151331, 41.126015, 41.150909, 41.101935, 41.1629763864344, 41.1633006677571, 41.1910078958329, 41.2202647954603, 41.188537, 41.151331))"
08110,nj,19658,73.3,-75.06073,ZCTA5 08110,6857,39.97225,15,26,11,"list(c(-75.1238629772435, -75.108519, -75.067088, -75.019253, -75.019362, -75.0600356985536, -75.0914475063657, -75.1127054300837, -75.1238629772435, 39.9628191685523, 39.958112, 39.948462, 39.967434, 39.989888, 39.9916198105673, 39.9746106358067, 39.9680916184649, 39.9628191685523))"
07020,nj,14234,133.3,-73.97406,ZCTA5 07020,4419,40.82362,6,14,8,"list(c(-73.994531, -73.9848017882995, -73.9541620159804, -73.976825, -73.994531, 40.806532, 40.7976903485926, 40.8479893203109, 40.827833, 40.806532))"
08648,nj,32508,90,-74.72186,ZCTA5 08648,12780,40.2849,10,19,9,"list(c(-74.762224, -74.731791, -74.671618, -74.66455, -74.676571, -74.746037, -74.762224, 40.284274, 40.242192, 40.269791, 40.267259, 40.290148, 40.32611, 40.284274))"
08106,nj,9727,78.6,-75.07401,ZCTA5 08106,3378,39.89125,14,25,11,"list(c(-75.065197, -75.094229, -75.079694, -75.051473, -75.062879, -75.065197, 39.901425, 39.900638, 39.881692, 39.889879, 39.897952, 39.901425))"
08225,nj,8419,120,-74.5408,ZCTA5 08225,4323,39.36394,5,11,6,"list(c(-74.550623, -74.58009, -74.541137, -74.513963, -74.506431, -74.502382, -74.550623, 39.386554, 39.368215, 39.333373, 39.337642, 39.344381, 39.356318, 39.386554))"
08723,nj,32686,100,-74.11091,ZCTA5 08723,24952,40.03886,5,10,5,"list(c(-74.155626, -74.159094, -74.086735, -74.051573, -74.058868, -74.109482, -74.155626, 40.07784, 40.023918, 40.008035, 40.059015, 40.059656, 40.052196, 40.07784))"
07726,nj,44954,100,-74.34243,ZCTA5 07726,16951,40.28251,8,16,8,"list(c(-74.408157, -74.370881, -74.353526, -74.290268, -74.296505, -74.321915, -74.348677, -74.408157, 40.27343, 40.224368, 40.208899, 40.293622, 40.322323, 40.348903, 40.348713, 40.27343))"
08853,nj,5260,100,-74.7401,ZCTA5 08853,1788,40.52931,9,18,9,"list(c(-74.771419, -74.791874, -74.788573, -74.725487, -74.69617, -74.743081, -74.753282, -74.778425, -74.771419, 40.528844, 40.517925, 40.512379, 40.506473, 40.546714, 40.553255, 40.553141, 40.532614, 40.528844))"
07042,nj,28049,100,-74.21768,ZCTA5 07042,6760,40.81361,8,16,8,"list(c(-74.232294, -74.220564, -74.218528, -74.195044, -74.219021, -74.220433, -74.232294, 40.814329, 40.789779, 40.788213, 40.827854, 40.835729, 40.834183, 40.814329))"
07011,nj,40680,100,-74.1448,ZCTA5 07011,8391,40.87848,8,16,8,"list(c(-74.166356, -74.143385, -74.118078, -74.129806, -74.128481, -74.166356, 40.894679, 40.859397, 40.876768, 40.887048, 40.894133, 40.894679))"
07307,nj,43151,140,-74.05633,ZCTA5 07307,8843,40.75173,5,12,7,"list(c(-74.056969, -74.070232, -74.046238, -74.042825, -74.037784, -74.045821, -74.056969, 40.768987, 40.761156, 40.735587, 40.736266, 40.750317, 40.757384, 40.768987))"
08512,nj,11540,88.9,-74.5266,ZCTA5 08512,3306,40.32026,9,17,8,"list(list(c(-74.567528, -74.567594, -74.56226, -74.567528, 40.287748, 40.282532, 40.284983, 40.287748)), list(c(-74.589074, -74.573397, -74.56226, -74.488968, -74.482077, -74.51784, -74.560684, -74.589074, 40.313812, 40.3009, 40.284983, 40.277084, 40.346066, 40.371782, 40.358773, 40.313812)))"
07067,nj,18776,100,-74.31486,ZCTA5 07067,6327,40.59264,9,18,9,"list(c(-74.338472, -74.337175, -74.292881, -74.290849, -74.302921, -74.338472, 40.605735, 40.585776, 40.571725, 40.59195, 40.608683, 40.605735))"
07032,nj,41790,114.3,-74.12031,ZCTA5 07032,9108,40.75375,7,15,8,"list(c(-74.148342, -74.164799, -74.136802, -74.117057, -74.103774, -74.098571, -74.078686, -74.090787, -74.110557, -74.147529, -74.148342, 40.779885, 40.754718, 40.741462, 40.710381, 40.718694, 40.727212, 40.750601, 40.761984, 40.777128, 40.786491, 40.779885))"
16132,pa,425,200,-80.50565,ZCTA5 16132,312,41.00586,3,9,6,"list(c(-80.5189305939396, -80.5189908307949, -80.483551, -80.479798, -80.5189305939396, 41.0142310267187, 40.9941098838221, 40.994611, 40.994667, 41.0142310267187))"
07848,nj,4822,125,-74.68408,ZCTA5 07848,2055,41.10341,4,9,5,"list(c(-74.72195, -74.720013, -74.686494, -74.638545, -74.634071, -74.624466, -74.658559, -74.72195, 41.112368, 41.054636, 41.037267, 41.118668, 41.132677, 41.161339, 41.161898, 41.112368))"
07082,nj,5867,116.7,-74.34532,ZCTA5 07082,2110,40.92641,6,13,7,"list(c(-74.362619, -74.339045, -74.322804, -74.341215, -74.367942, -74.362619, 40.948407, 40.894103, 40.908834, 40.946396, 40.958222, 40.948407))"
07080,nj,24251,100,-74.41531,ZCTA5 07080,8896,40.5748,10,20,10,"list(c(-74.437067, -74.4086, -74.404585, -74.39472, -74.424699, -74.437067, 40.597468, 40.543824, 40.549791, 40.600989, 40.598513, 40.597468))"
07304,nj,50444,116.7,-74.07366,ZCTA5 07304,8341,40.7165,6,13,7,"list(c(-74.103774, -74.054811, -74.063775, -74.098571, -74.103774, 40.718694, 40.710604, 40.723626, 40.727212, 40.718694))"
19123,pa,18071,80,-75.1457,ZCTA5 19123,4967,39.96408,15,27,12,"list(c(-75.159442, -75.161772, -75.159884, -75.151632, -75.1302237071395, -75.1254163616611, -75.135354, -75.159442, 39.971467, 39.960421, 39.959312, 39.957217, 39.9585871904707, 39.9619516941373, 39.968726, 39.971467))"
16923,pa,1333,NA,-77.87251,ZCTA5 16923,1215,41.94009,0,1,1,"list(c(-78.0247765162016, -78.030096382641, -77.98646, -77.963171, -77.86181, -77.845357, -77.82501, -77.845205, -77.72779, -77.74486, -77.7699324917978, -77.8632780469799, -78.0247765162016, 41.9992747610005, 41.9993755768822, 41.95416, 41.915047, 41.85982, 41.816197, 41.85924, 41.934498, 41.959132, 41.9783, 41.9987174949968, 41.9985681874025, 41.9992747610005))"
07920,nj,28451,100,-74.56297,ZCTA5 07920,10417,40.6784,8,16,8,"list(c(-74.63131, -74.631934, -74.584845, -74.563225, -74.523229, -74.513717, -74.47739, -74.501889, -74.549005, -74.590303, -74.63131, 40.66794, 40.642775, 40.621723, 40.610508, 40.649157, 40.69775, 40.70835, 40.741023, 40.740935, 40.699738, 40.66794))"
07054,nj,30692,100,-74.40225,ZCTA5 07054,7231,40.85566,7,14,7,"list(c(-74.439733, -74.458335, -74.451639, -74.383882, -74.340786, -74.351746, -74.396009, -74.43068, -74.449695, -74.439733, 40.866511, 40.83706, 40.838411, 40.824974, 40.845891, 40.865216, 40.881951, 40.881706, 40.879675, 40.866511))"
16116,pa,2691,150,-80.45214,ZCTA5 16116,1949,41.03628,4,10,6,"list(c(-80.5189394461267, -80.5189305939396, -80.479798, -80.413385, -80.402911, -80.395275, -80.416123, -80.436799, -80.502947, -80.5189394461267, 41.0327961140683, 41.0142310267187, 40.994667, 40.996504, 41.036863, 41.081054, 41.089771, 41.062118, 41.061536, 41.0327961140683))"
07701,nj,25010,200,-74.07746,ZCTA5 07701,10040,40.36144,2,6,4,"list(c(-74.072326, -74.111469, -74.098868, -74.074386, -74.063691, -74.051136, -74.033694, -74.045756, -74.072326, 40.385549, 40.344309, 40.324986, 40.333817, 40.338267, 40.347982, 40.375656, 40.387221, 40.385549))"
07921,nj,7596,114.3,-74.67753,ZCTA5 07921,4450,40.65694,7,15,8,"list(c(-74.720839, -74.728997, -74.727053, -74.667209, -74.631934, -74.63131, -74.650598, -74.658519, -74.720839, 40.679271, 40.660687, 40.634056, 40.61591, 40.642775, 40.66794, 40.696442, 40.695629, 40.679271))"
15212,pa,28461,160,-80.00753,ZCTA5 15212,15686,40.47078,5,13,8,"list(c(-80.053179, -80.048394, -80.01629, -79.974575, -79.994275, -80.044638, -80.053179, 40.48217, 40.477106, 40.443207, 40.469458, 40.497068, 40.493361, 40.48217))"
17025,pa,16883,88.9,-76.97601,ZCTA5 17025,6873,40.29507,9,17,8,"list(c(-77.076009, -77.040997, -76.952899, -76.914977, -76.913911, -76.914112, -76.915595, -76.920476, -76.930141, -77.076009, 40.302067, 40.281515, 40.275821, 40.271422, 40.271938, 40.274466, 40.315594, 40.316694, 40.315055, 40.302067))"
15234,pa,14006,200,-80.01779,ZCTA5 15234,6283,40.36814,3,9,6,"list(c(-80.022344, -80.04796, -80.01676, -79.993999, -79.995977, -79.998568, -80.022344, 40.382785, 40.351665, 40.349605, 40.375839, 40.38242, 40.389791, 40.382785))"
15208,pa,9153,175,-79.89949,ZCTA5 15208,6248,40.45319,4,11,7,"list(c(-79.917422, -79.90136, -79.885848, -79.890118, -79.917422, 40.445596, 40.445835, 40.462162, 40.461276, 40.445596))"
15801,pa,20275,100,-78.72554,ZCTA5 15801,16714,41.12497,1,2,1,"list(c(-78.782495, -78.822466, -78.804366, -78.804199, -78.796326, -78.777842, -78.772091, -78.748215, -78.697952, -78.681905, -78.603289, -78.654576, -78.648238, -78.741495, -78.782495, 41.172376, 41.124499, 41.063706, 41.040156, 41.032204, 41.021044, 41.013528, 41.058617, 41.074493, 41.133906, 41.136952, 41.186193, 41.217386, 41.202335, 41.172376))"
15224,pa,10916,175,-79.9448,ZCTA5 15224,4932,40.46423,4,11,7,"list(c(-79.931916, -79.960349, -79.943082, -79.938306, -79.931916, 40.475217, 40.460466, 40.454566, 40.461947, 40.475217))"
15202,pa,20028,180,-80.06853,ZCTA5 15202,7833,40.5053,5,14,9,"list(c(-80.062639, -80.108363, -80.067526, -80.053179, -80.044638, -80.033285, -80.062639, 40.520041, 40.510521, 40.492271, 40.48217, 40.493361, 40.50631, 40.520041))"
07755,nj,6651,200,-74.02283,ZCTA5 07755,2765,40.26367,2,6,4,"list(c(-74.043379, -74.019689, -74.000174, -74.009807, -74.027625, -74.043379, 40.27341, 40.253485, 40.263357, 40.275389, 40.272741, 40.27341))"
08554,nj,4236,83.3,-74.77807,ZCTA5 08554,1250,40.11652,12,22,10,"list(c(-74.7916519900689, -74.795817, -74.784956, -74.7758221526813, -74.7916519900689, 40.1210040993333, 40.104686, 40.105919, 40.1249608850373, 40.1210040993333))"
15085,pa,7889,233.3,-79.72245,ZCTA5 15085,3817,40.38571,3,10,7,"list(c(-79.765426, -79.771082, -79.741942, -79.725796, -79.66892, -79.678557, -79.68947, -79.722187, -79.765426, 40.385311, 40.375419, 40.360899, 40.365704, 40.39264, 40.403249, 40.399773, 40.409077, 40.385311))"
19539,pa,4071,150,-75.68948,ZCTA5 19539,2048,40.48985,4,10,6,"list(c(-75.759725, -75.711516, -75.699858, -75.641902, -75.617959, -75.682238, -75.688537, -75.695655, -75.700806, -75.71069, -75.737039, -75.748744, -75.759725, 40.475622, 40.432007, 40.441612, 40.48381, 40.53394, 40.543638, 40.542671, 40.539051, 40.516368, 40.504442, 40.489885, 40.481249, 40.475622))"
