geoid,state_abbr,population,change_perc_above_100,lon,name,count_prop,lat,days_above_100_today,days_above_100_30yrs,change_days_above_100,geometry
77612,tx,9490,32.1,-93.92575,ZCTA5 77612,6556,30.40615,78,103,25,"list(c(-94.078268, -94.06699, -94.119037, -94.083386, -94.119371, -94.103865, -94.073692, -94.003458, -94.003424, -93.922714, -93.847285, -93.792289, -93.7657423445931, -93.745971, -93.699277, -93.7119245773196, -93.809882, -93.885645, -93.883325, -93.937357, -94.031767, -94.078268, 30.547211, 30.531936, 30.409566, 30.342181, 30.285319, 30.265843, 30.300437, 30.284984, 30.242097, 30.242572, 30.264655, 30.310878, 30.3331596612176, 30.396478, 30.437376, 30.4712711152003, 30.497824, 30.494975, 30.533789, 
30.532891, 30.554381, 30.547211))"
78566,tx,24551,29,-97.37069,ZCTA5 78566,8713,26.14855,93,120,27,"list(c(-97.467926, -97.516511, -97.523989, -97.574456, -97.512272, -97.478683, -97.397952, -97.348813, -97.3423, -97.2916642617921, -97.294817, -97.316733, -97.415943, -97.39552, -97.438856, -97.441979, -97.467926, 26.166047, 26.141088, 26.099748, 26.077108, 26.023359, 26.043792, 26.049232, 26.090389, 26.136761, 26.1362659004324, 26.192312, 26.224025, 26.235257, 26.26817, 26.257899, 26.182959, 26.166047))"
75954,tx,2550,35.8,-94.05442,ZCTA5 75954,2811,31.92344,67,91,24,"list(c(-94.131552, -94.167057, -94.166107, -94.074282, -94.029288, -93.943634, -93.8810057803521, -93.9024110017104, -93.973942, -94.017265, -94.04272, -94.131552, 32.002508, 31.970839, 31.893473, 31.874727, 31.851842, 31.844638, 31.8448387709843, 31.8962030395394, 31.921668, 31.989343, 31.999265, 32.002508))"
78638,tx,1978,39.1,-97.79495,ZCTA5 78638,2197,29.6569,64,89,25,"list(c(-97.948893, -97.943502, -97.828325, -97.773444, -97.739639, -97.683924, -97.726438, -97.703855, -97.738308, -97.77334, -97.805621, -97.820794, -97.870984, -97.948893, 29.748051, 29.713793, 29.638986, 29.528832, 29.509381, 29.582743, 29.614406, 29.681267, 29.712744, 29.741852, 29.76777, 29.757761, 29.766457, 29.748051))"
77340,tx,32826,43.1,-95.53985,ZCTA5 77340,11616,30.64369,65,93,28,"list(c(-95.763474, -95.764177, -95.686368, -95.667244, -95.615257, -95.575867, -95.546454, -95.459006, -95.417686, -95.35056, -95.345863, -95.343727, -95.338625, -95.398639, -95.482513, -95.539841, -95.615639, -95.763474, 30.679953, 30.636594, 30.599626, 30.551559, 30.544821, 30.565842, 30.611686, 30.565734, 30.585424, 30.585947, 30.634842, 30.668008, 30.737826, 30.7325, 30.706423, 30.723617, 30.700541, 30.679953))"
75144,tx,4030,43.5,-96.20884,ZCTA5 75144,4237,32.11311,62,89,27,"list(c(-96.355906, -96.340082, -96.215684, -96.199298, -96.120491, -96.05478, -96.067842, -96.117827, -96.112675, -96.176477, -96.150479, -96.189536, -96.234251, -96.28561, -96.351072, -96.3256, -96.31337, -96.355906, 32.112909, 32.077894, 32.039893, 31.974034, 31.980805, 32.012526, 32.08586, 32.094977, 32.156784, 32.181379, 32.214127, 32.202316, 32.250399, 32.266895, 32.225008, 32.201269, 32.128689, 32.112909))"
78545,tx,407,18.6,-99.11811,ZCTA5 78545,434,26.59039,113,134,21,"list(c(-99.200522, -99.178064, -99.166742, -99.127782, -99.0951749607434, -99.087177, -99.086199, -99.09139, -99.101145, -99.153023, -99.15605, -99.110378, -99.162336, -99.200522, 26.656443, 26.620547, 26.536079, 26.525199, 26.4665459376688, 26.47442, 26.492848, 26.622797, 26.64845, 26.61482, 26.679887, 26.693129, 26.686192, 26.656443))"
77026,tx,21412,43.3,-95.32943,ZCTA5 77026,10724,29.80013,67,96,29,"list(c(-95.335494, -95.352373, -95.350746, -95.350481, -95.289942, -95.329767, -95.335494, 29.819891, 29.819732, 29.812546, 29.773559, 29.798789, 29.819994, 29.819891))"
78873,tx,1324,100,-99.73609,ZCTA5 78873,3297,29.76656,24,48,24,"list(c(-99.917708, -99.871175, -99.872752, -99.828837, -99.866997, -99.82775, -99.787856, -99.746549, -99.71823, -99.670042, -99.636718, -99.60313, -99.603318, -99.602769, -99.683047, -99.706741, -99.694712, -99.693215, -99.747826, -99.820096, -99.836135, -99.761662, -99.812352, -99.870186, -99.869672, -99.917708, 29.946761, 29.862984, 29.778523, 29.753808, 29.69134, 29.692025, 29.624591, 29.625145, 29.683217, 29.626205, 29.626676, 29.627181, 29.740258, 29.888101, 29.871058, 29.905308, 29.943492, 
30.033208, 30.000713, 30.049276, 29.97341, 29.919595, 29.888024, 29.906734, 29.968879, 29.946761))"
75763,tx,6507,45.9,-95.52213,ZCTA5 75763,7646,32.04188,61,89,28,"list(c(-95.601005, -95.568779, -95.617582, -95.566228, -95.503482, -95.449474, -95.424467, -95.422174, -95.424107, -95.472698, -95.472914, -95.521472, -95.57487, -95.59592, -95.601005, 32.061483, 32.041494, 31.960934, 31.901002, 31.985981, 31.988952, 32.01942, 32.043818, 32.083892, 32.14503, 32.145077, 32.176987, 32.127999, 32.073303, 32.061483))"
