tract,state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
001000100,il,-91.35295,39.95109,2583,19,36,17,89.5
001000201,il,-91.38669,39.95612,952,19,36,17,89.5
001000202,il,-91.38566,39.94174,1145,19,36,17,89.5
001000400,il,-91.40824,39.9518,1540,20,37,17,85
001000500,il,-91.39854,39.94358,833,20,37,17,85
001000600,il,-91.38257,39.9313,1644,19,37,18,94.7
001000700,il,-91.40791,39.93288,695,20,37,17,85
001000800,il,-91.4124,39.91856,995,20,37,17,85
001000900,il,-91.39964,39.91552,1109,20,37,17,85
001001001,il,-91.38511,39.92103,1476,19,36,17,89.5
001001002,il,-91.38763,39.90887,1267,19,37,18,94.7
001001100,il,-91.3577,39.91531,3002,19,36,17,89.5
001010100,il,-91.32519,40.11163,4470,19,36,17,89.5
001010200,il,-91.03011,40.1067,3622,17,34,17,100
001010301,il,-91.01978,39.90767,3074,17,33,16,94.1
001010302,il,-91.16554,39.82926,2474,18,34,16,88.9
001010400,il,-91.25427,39.97971,2377,18,34,16,88.9
001010500,il,-91.42308,39.99251,1470,20,37,17,85
001010600,il,-91.33644,39.84798,3202,19,36,17,89.5
003957600,il,-89.35922,37.28339,2234,32,53,21,65.6
003957700,il,-89.3439,37.13494,2520,33,54,21,63.6
003957800,il,-89.21341,37.05711,1930,39,59,20,51.3
003957900,il,-89.17141,36.98877,1435,39,59,20,51.3
005951200,il,-89.35931,38.96582,3695,20,39,19,95
005951300,il,-89.39016,38.88638,2583,20,40,20,100
005951400,il,-89.53828,38.9239,3403,21,41,20,95.2
005951500,il,-89.40115,38.80491,4416,21,40,19,90.5
007010101,il,-88.84167,42.26981,1617,10,18,8,80
007010102,il,-88.86435,42.26514,1090,10,18,8,80
007010200,il,-88.83231,42.24858,2101,10,18,8,80
007010300,il,-88.85048,42.24399,1723,10,18,8,80
007010400,il,-88.82235,42.20426,3824,10,18,8,80
007010501,il,-88.90879,42.30319,2058,10,18,8,80
007010502,il,-88.80199,42.29278,2966,10,18,8,80
007010601,il,-88.80465,42.42366,2938,10,18,8,80
007010603,il,-88.88271,42.37127,3419,9,18,9,100
007010604,il,-88.86681,42.35495,2405,9,18,9,100
009970400,il,-90.75021,39.96146,3864,20,38,18,90
009970500,il,-90.75731,39.97631,1397,19,36,17,89.5
011964700,il,-89.3254,41.52598,2957,10,22,12,120
011964800,il,-89.69799,41.49465,3623,12,24,12,100
011964900,il,-89.46042,41.43898,2002,12,24,12,100
011965000,il,-89.31932,41.38088,3250,12,25,13,108.3
011965100,il,-89.19597,41.37116,2271,11,24,13,118.2
011965200,il,-89.21369,41.32244,1988,12,25,13,108.3
011965300,il,-89.45904,41.39647,1877,12,25,13,108.3
011965400,il,-89.45176,41.3551,1808,12,25,13,108.3
011965500,il,-89.53605,41.26633,3728,13,27,14,107.7
011965600,il,-89.74486,41.32031,2989,12,25,13,108.3
013951200,il,-90.70984,39.304,1700,23,42,19,82.6
013951300,il,-90.61901,39.01456,1520,26,46,20,76.9
015960100,il,-89.79174,42.14902,4648,10,19,9,90
015960200,il,-90.05662,42.11659,2103,11,21,10,90.9
015960300,il,-90.19875,42.14553,2115,12,22,10,83.3
015960400,il,-89.94345,42.07094,1476,11,21,10,90.9
015960500,il,-89.78187,42.016,2047,11,21,10,90.9
015960600,il,-90.00593,41.96802,1395,11,21,10,90.9
017960100,il,-90.07404,39.97675,2967,18,37,19,105.6
017960200,il,-90.22493,39.94384,2789,19,37,18,94.7
017960300,il,-90.37657,39.98657,3912,20,39,19,95
017960400,il,-90.43485,40.00521,1147,22,41,19,86.4
017960500,il,-90.42105,40.02257,1244,22,41,19,86.4
019000200,il,-88.23304,40.12298,781,14,30,16,114.3
019000301,il,-88.2355,40.11083,294,14,30,16,114.3
019000302,il,-88.2351,40.11447,330,14,30,16,114.3
019000401,il,-88.23234,40.10699,158,14,31,17,121.4
019000402,il,-88.2389,40.10662,217,14,31,17,121.4
019000500,il,-88.25088,40.1052,1314,14,31,17,121.4
019000700,il,-88.24637,40.12912,1334,14,30,16,114.3
019000800,il,-88.24711,40.15017,1474,14,30,16,114.3
019000901,il,-88.2683,40.12978,1482,14,30,16,114.3
019000902,il,-88.31485,40.12831,2310,14,30,16,114.3
019001000,il,-88.27236,40.11702,1587,14,30,16,114.3
019001100,il,-88.26718,40.10548,1608,14,30,16,114.3
019001201,il,-88.29068,40.10569,2031,14,30,16,114.3
019001203,il,-88.28581,40.09109,1875,14,30,16,114.3
019001204,il,-88.28996,40.06935,1263,14,30,16,114.3
019001205,il,-88.32826,40.08366,2179,14,30,16,114.3
019001206,il,-88.30471,40.09132,753,14,30,16,114.3
019001301,il,-88.26081,40.09098,2034,14,30,16,114.3
019001302,il,-88.26239,40.06955,1689,14,30,16,114.3
019001400,il,-88.24061,40.08102,835,14,31,17,121.4
019005300,il,-88.2196,40.1287,1060,14,30,16,114.3
019005401,il,-88.19477,40.12463,819,14,31,17,121.4
019005402,il,-88.15812,40.13372,853,15,31,16,106.7
019005500,il,-88.16226,40.11251,2289,15,31,16,106.7
019005601,il,-88.18375,40.10209,2003,15,31,16,106.7
019005602,il,-88.14961,40.08621,869,15,31,16,106.7
019005701,il,-88.20007,40.09106,1606,14,31,17,121.4
019005702,il,-88.1776,40.06741,704,15,31,16,106.7
019005800,il,-88.21211,40.10475,1179,14,31,17,121.4
019005901,il,-88.22004,40.10368,127,14,31,17,121.4
019005902,il,-88.2242,40.10752,153,14,31,17,121.4
019006000,il,-88.22301,40.07547,62,14,31,17,121.4
019010100,il,-88.14527,40.32659,1536,16,32,16,100
019010204,il,-88.15758,40.30278,2101,16,32,16,100
019010300,il,-88.14451,40.29293,463,16,32,16,100
019010400,il,-88.07684,40.3124,3938,15,31,16,106.7
019010500,il,-88.34655,40.31097,3433,15,31,16,106.7
019010601,il,-88.42896,40.19961,2462,14,31,17,121.4
019010603,il,-88.37802,40.18171,2583,14,31,17,121.4
019010604,il,-88.30272,40.15201,2179,15,31,16,106.7
019010701,il,-88.03256,40.11331,1683,15,31,16,106.7
019010702,il,-88.03567,40.1441,2967,15,31,16,106.7
019010800,il,-88.06278,39.96072,4066,16,33,17,106.3
019010901,il,-88.20395,39.99149,2848,15,32,17,113.3
019010902,il,-88.36361,39.96925,3212,16,33,17,106.3
019011001,il,-88.25135,40.11969,635,14,30,16,114.3
019011002,il,-88.24635,40.11549,758,14,30,16,114.3
019011100,il,-88.21447,40.1141,519,14,31,17,121.4
021958100,il,-89.28666,39.71528,3243,18,37,19,105.6
021958200,il,-89.43454,39.58904,3001,18,37,19,105.6
021958300,il,-89.3008,39.56353,2015,18,37,19,105.6
021958400,il,-89.30952,39.54629,1746,18,37,19,105.6
021958500,il,-89.27904,39.54822,1070,18,37,19,105.6
021958600,il,-89.15098,39.60246,2413,18,37,19,105.6
021958700,il,-89.14029,39.43809,3115,19,38,19,100
021958800,il,-89.07449,39.38324,1417,19,38,19,100
021958900,il,-89.0846,39.39411,1443,19,38,19,100
021959000,il,-89.3872,39.44125,4347,17,36,19,111.8
023060100,il,-87.69723,39.33719,5611,20,39,19,95
023060200,il,-87.68595,39.39548,2307,20,38,18,90
023060300,il,-87.92414,39.30988,3702,18,37,19,105.6
023060400,il,-87.91814,39.33108,2617,19,37,18,94.7
025971900,il,-88.47649,38.845,4339,23,42,19,82.6
025972000,il,-88.50651,38.73831,4256,24,44,20,83.3
025972100,il,-88.47653,38.6704,3201,24,44,20,83.3
025972200,il,-88.48908,38.64148,3431,24,44,20,83.3
027900100,il,-89.65058,38.6188,3396,24,44,20,83.3
027900200,il,-89.48727,38.69825,2044,21,40,19,90.5
027900300,il,-89.49329,38.61531,4215,21,41,20,95.2
027900401,il,-89.20345,38.63993,1967,21,41,20,95.2
027900403,il,-89.35799,38.58447,3064,20,40,20,100
027900404,il,-89.31274,38.68288,2193,20,39,19,95
027900500,il,-89.31458,38.53042,3614,22,42,20,90.9
027900601,il,-89.51127,38.53067,1901,23,43,20,87
027900602,il,-89.63476,38.51644,4179,25,45,20,80
029000100,il,-88.16233,39.59289,3736,18,36,18,100
029000200,il,-88.38656,39.50323,4251,17,34,17,100
029000300,il,-88.39039,39.49679,2211,16,34,18,112.5
029000400,il,-88.3092,39.49703,1605,16,34,18,112.5
029000500,il,-88.19826,39.50214,2738,17,35,18,105.9
029000600,il,-88.10126,39.4613,3484,18,35,17,94.4
029000701,il,-88.13635,39.48731,1113,17,35,18,105.9
029000702,il,-88.17926,39.48699,910,17,35,18,105.9
029000800,il,-88.17619,39.47714,354,17,35,18,105.9
029000900,il,-88.18752,39.4706,1745,17,35,18,105.9
029001000,il,-88.34424,39.47392,1435,16,33,17,106.3
029001100,il,-88.37464,39.46758,1597,16,33,17,106.3
029001200,il,-88.39716,39.47036,1758,16,33,17,106.3
031010100,il,-87.66983,42.02126,317,7,13,6,85.7
031010201,il,-87.68015,42.01601,602,7,13,6,85.7
031010202,il,-87.67333,42.01605,280,7,13,6,85.7
031010300,il,-87.66654,42.01594,415,7,13,6,85.7
031010400,il,-87.65717,42.00544,254,7,13,6,85.7
031010501,il,-87.66396,42.00941,142,7,13,6,85.7
031010502,il,-87.66333,42.00452,186,7,13,6,85.7
031010503,il,-87.66313,42.00032,227,7,13,6,85.7
031010600,il,-87.66768,42.00628,566,7,13,6,85.7
031010701,il,-87.67862,42.00915,475,7,13,6,85.7
031010702,il,-87.67273,42.00902,363,7,13,6,85.7
031020100,il,-87.68712,42.01572,517,6,12,6,100
031020200,il,-87.69952,42.01569,1865,6,12,6,100
031020301,il,-87.70519,42.00687,763,6,12,6,100
031020302,il,-87.69496,42.00854,851,6,12,6,100
031020400,il,-87.68591,42.00849,593,6,12,6,100
031020500,il,-87.6842,42.00131,464,7,13,6,85.7
031020601,il,-87.7018,42.00087,929,6,12,6,100
031020602,il,-87.69364,42.00132,770,6,12,6,100
031020701,il,-87.70369,41.98689,597,6,12,6,100
031020702,il,-87.70489,41.99413,1043,6,12,6,100
