geoid,state_abbr,population,change_perc_above_100,lon,name,count_prop,lat,days_above_100_today,days_above_100_30yrs,change_days_above_100,geometry
13126,ny,35339,150,-76.46129,ZCTA5 13126,14183,43.43937,2,5,3,"list(c(-76.6355291817294, -76.612228, -76.517748, -76.399387, -76.361108, -76.366065, -76.3033391122331, -76.410636, -76.486962, -76.6355291817294, 43.4085140915573, 43.380689, 43.348153, 43.393554, 43.423272, 43.456486, 43.5129407398187, 43.523159, 43.47535, 43.4085140915573))"
11232,ny,28501,140,-74.0058,ZCTA5 11232,2909,40.65631,5,12,7,"list(c(-74.0262073272444, -73.997734, -73.993985, -73.998619, -74.0186609575167, -74.0262073272444, 40.6518050661414, 40.64341, 40.647101, 40.67183, 40.6625189088442, 40.6518050661414))"
08738,nj,1422,150,-74.05814,ZCTA5 08738,3131,40.02371,2,5,3,"list(c(-74.051573, -74.086735, -74.0589108874418, -74.0454831933769, -74.051573, 40.059015, 40.008035, 40.0012764624736, 40.0577585658976, 40.059015))"
11547,ny,488,150,-73.64423,ZCTA5 11547,329,40.83077,4,10,6,"list(c(-73.6526046345859, -73.650008, -73.639274, -73.632503, -73.6522744172104, -73.6526046345859, 40.8288502112342, 40.815823, 40.828133, 40.837168, 40.8346815690176, 40.8288502112342))"
14217,ny,22839,200,-78.87687,ZCTA5 14217,8560,42.97188,1,3,2,"list(c(-78.909873, -78.889249, -78.853259, -78.873294, -78.909873, 42.974633, 42.958572, 42.958628, 42.990421, 42.974633))"
14810,ny,11504,200,-77.34275,ZCTA5 14810,5396,42.34871,1,3,2,"list(c(-77.510231, -77.509508, -77.47281, -77.471805, -77.392945, -77.341585, -77.328014, -77.285148, -77.283822, -77.207556, -77.20343, -77.263511, -77.276749, -77.338281, -77.385812, -77.510231, 42.345657, 42.335959, 42.331805, 42.271858, 42.273562, 42.253023, 42.245481, 42.272468, 42.302847, 42.348154, 42.371975, 42.40118, 42.479778, 42.466896, 42.389846, 42.345657))"
07718,nj,6901,200,-74.0851,ZCTA5 07718,2494,40.42058,2,6,4,"list(c(-74.096924, -74.082985, -74.074384, -74.0811116508857, -74.096924, 40.422366, 40.406508, 40.417337, 40.4356528200977, 40.422366))"
08302,nj,47358,110,-75.26088,ZCTA5 08302,18442,39.43949,10,21,11,"list(c(-75.349604, -75.341044, -75.411189, -75.335594, -75.309545, -75.3572979091989, -75.2780220626555, -75.267169, -75.17941, -75.140519, -75.102874, -75.207186, -75.257065, -75.325944, -75.339135, -75.349604, 39.534776, 39.492953, 39.420423, 39.432743, 39.415265, 39.3440582802589, 39.3052363183179, 39.345367, 39.368316, 39.46437, 39.470113, 39.539479, 39.526651, 39.558489, 39.558651, 39.534776))"
11726,ny,21674,150,-73.39567,ZCTA5 11726,5523,40.67886,2,5,3,"list(c(-73.397926, -73.391719, -73.376166, -73.397926, 40.703428, 40.654161, 40.6569, 40.703428))"
08880,nj,4818,90,-74.52773,ZCTA5 08880,1505,40.55357,10,19,9,"list(c(-74.526685, -74.543444, -74.515872, -74.519843, -74.526685, 40.559474, 40.554779, 40.544984, 40.555584, 40.559474))"
08006,nj,427,150,-74.10666,ZCTA5 08006,1335,39.75275,2,5,3,"list(c(-74.104381, -74.1148344406149, -74.0996128840792, -74.104381, 39.766982, 39.7389042865855, 39.7637801015972, 39.766982))"
10110,ny,0,116.7,-73.98226,ZCTA5 10110,7,40.7545,6,13,7,"list(c(-73.980395, -73.984118, -73.980888, -73.980395, 40.754155, 40.754842, 40.753481, 40.754155))"
12078,ny,23048,300,-74.36367,ZCTA5 12078,11863,43.12377,1,4,3,"list(c(-74.457719, -74.444296, -74.428937, -74.355686, -74.237773, -74.216995, -74.215187, -74.256813, -74.307094, -74.320828, -74.357019, -74.457719, 43.232885, 43.087348, 43.047346, 43.026238, 43.028557, 43.04744, 43.070409, 43.097697, 43.110857, 43.204212, 43.239604, 43.232885))"
11705,ny,8241,200,-73.05506,ZCTA5 11705,2940,40.74515,1,3,2,"list(c(-73.062174, -73.069845, -73.038052, -73.044523, -73.058248, -73.062174, 40.769309, 40.722565, 40.729618, 40.76267, 40.769667, 40.769309))"
13849,ny,4603,200,-75.31145,ZCTA5 13849,2830,42.34381,1,3,2,"list(c(-75.38639, -75.37853, -75.356723, -75.3376, -75.323054, -75.350629, -75.259869, -75.231103, -75.245644, -75.244886, -75.243307, -75.247359, -75.306492, -75.339484, -75.347163, -75.37238, -75.38639, 42.325354, 42.244354, 42.178703, 42.187308, 42.193852, 42.240203, 42.292027, 42.325773, 42.362187, 42.3667, 42.379478, 42.429673, 42.449411, 42.431762, 42.358786, 42.348275, 42.325354))"
11556,ny,0,250,-73.58386,ZCTA5 11556,2,40.71968,2,7,5,"list(c(-73.585606, -73.580487, -73.580345, -73.585606, 40.720754, 40.7183, 40.722242, 40.720754))"
11970,ny,523,NA,-72.57743,ZCTA5 11970,557,40.93914,0,1,1,"list(c(-72.564692, -72.582193, -72.563324, -72.564692, 40.947689, 40.935094, 40.945805, 40.947689))"
13051,ny,30,200,-75.90864,ZCTA5 13051,44,42.87673,1,3,2,"list(c(-75.909509, -75.913432, -75.905049, -75.909509, 42.890613, 42.876177, 42.877253, 42.890613))"
10173,ny,0,116.7,-73.97936,ZCTA5 10173,8,40.75413,6,13,7,"list(c(-73.980395, -73.980888, -73.979287, -73.979937, -73.980395, 40.754155, 40.753481, 40.752801, 40.754783, 40.754155))"
11939,ny,1331,NA,-72.32708,ZCTA5 11939,1218,41.12792,0,1,1,"list(c(-72.3608554421104, -72.344961, -72.3361860960765, -72.3172563332812, -72.3194380728434, -72.3608554421104, 41.1277340721221, 41.101194, 41.1095205721767, 41.1391247050826, 41.1407143373812, 41.1277340721221))"
08053,nj,46775,73.3,-74.89466,ZCTA5 08053,18404,39.8605,15,26,11,"list(c(-74.957313, -74.927211, -74.908307, -74.902368, -74.889755, -74.863384, -74.862601, -74.957313, 39.914345, 39.873758, 39.809738, 39.791041, 39.781973, 39.785634, 39.919832, 39.914345))"
10474,ny,11312,116.7,-73.88459,ZCTA5 10474,1242,40.81058,6,13,7,"list(c(-73.902988, -73.902184, -73.880981, -73.884411, -73.895428, -73.902988, 40.809364, 40.804877, 40.818238, 40.82297, 40.815845, 40.809364))"
08852,nj,18480,88.9,-74.54816,ZCTA5 08852,5643,40.38791,9,17,8,"list(c(-74.578564, -74.589344, -74.560684, -74.51784, -74.504435, -74.477483, -74.520085, -74.578564, 40.395147, 40.358089, 40.358773, 40.371782, 40.393022, 40.403734, 40.428364, 40.395147))"
08312,nj,8310,84.6,-75.08026,ZCTA5 08312,3143,39.6613,13,24,11,"list(c(-75.121026, -75.100316, -75.042279, -75.068943, -75.121026, 39.662073, 39.640589, 39.669897, 39.678202, 39.662073))"
10007,ny,8194,116.7,-74.00778,ZCTA5 10007,207,40.71386,6,13,7,"list(c(-74.012731, -74.0137, -74.009988, -74.000746, -74.012731, 40.717114, 40.713668, 40.709806, 40.71451, 40.717114))"
14511,ny,454,100,-77.87807,ZCTA5 14511,292,42.99759,3,6,3,"list(c(-77.891493, -77.878331, -77.841599, -77.865993, -77.891493, 43.007298, 42.987862, 42.988029, 42.99881, 43.007298))"
13331,ny,73,NA,-74.90042,ZCTA5 13331,1270,43.84297,0,1,1,"list(c(-74.837936, -74.912505, -74.956007, -75.140538, -75.133487, -75.130204, -75.123087, -75.001995, -74.897878, -74.813155, -74.782473, -74.801684, -74.820108, -74.837936, 43.952966, 43.908513, 43.911236, 43.861844, 43.802515, 43.776311, 43.72037, 43.714551, 43.768873, 43.766887, 43.782216, 43.800628, 43.818507, 43.952966))"
08248,nj,161,166.7,-74.65699,ZCTA5 08248,1435,39.19543,3,8,5,"list(c(-74.652095, -74.673548, -74.6697958125754, -74.6476523929901, -74.652095, 39.208259, 39.183567, 39.181661314071, 39.2072018815888, 39.208259))"
10309,ny,35832,140,-74.2206,ZCTA5 10309,10394,40.53136,5,12,7,"list(c(-74.206392, -74.2428597644056, -74.2282875134466, -74.1832823107485, -74.206392, 40.558102, 40.5211562898909, 40.501779044783, 40.5200699511305, 40.558102))"
11363,ny,7424,150,-73.74652,ZCTA5 11363,2182,40.7726,4,10,6,"list(c(-73.749664, -73.753469, -73.733962, -73.749664, 40.782106, 40.765445, 40.772449, 40.782106))"
14216,ny,24445,200,-78.86169,ZCTA5 14216,7167,42.94845,1,3,2,"list(c(-78.889249, -78.877451, -78.865877, -78.837037, -78.853259, -78.889249, 42.958572, 42.934196, 42.929571, 42.958384, 42.958628, 42.958572))"
07044,nj,14479,116.7,-74.24285,ZCTA5 07044,5260,40.83221,6,13,7,"list(c(-74.259805, -74.264764, -74.232294, -74.220433, -74.251602, -74.259805, 40.834876, 40.825069, 40.814329, 40.834183, 40.849623, 40.834876))"
08001,nj,814,100,-75.34981,ZCTA5 08001,399,39.55074,11,22,11,"list(c(-75.36898, -75.349604, -75.339135, -75.36898, 39.569294, 39.534776, 39.558651, 39.569294))"
14456,ny,19210,133.3,-77.00125,ZCTA5 14456,8516,42.84589,3,7,4,"list(c(-77.07415, -77.10601, -77.031302, -77.000842, -76.975115, -76.978019, -76.945321, -76.928486, -76.868738, -76.857431, -76.936317, -76.951137, -77.012283, -77.092793, -77.078134, -77.06955, -77.07415, 42.787948, 42.763441, 42.763752, 42.764079, 42.758925, 42.870331, 42.872387, 42.785897, 42.806881, 42.807263, 42.869173, 42.941896, 42.912266, 42.916181, 42.886087, 42.8036, 42.787948))"
14207,ny,25661,200,-78.89782,ZCTA5 14207,7141,42.95172,1,3,2,"list(c(-78.909873, -78.91245, -78.898708, -78.88875, -78.877451, -78.889249, -78.909873, 42.974633, 42.956248, 42.927982, 42.936526, 42.934196, 42.958572, 42.974633))"
08341,nj,2200,84.6,-74.95259,ZCTA5 08341,767,39.52549,13,24,11,"list(c(-74.947717, -74.94899, -74.937037, -74.947717, 39.527619, 39.511687, 39.517847, 39.527619))"
13856,ny,5993,NA,-75.16722,ZCTA5 13856,5027,42.16589,0,2,2,"list(c(-75.3376, -75.349696, -75.288339, -75.19667, -75.168843, -75.151812, -75.090905, -75.021117, -75.004456, -75.039742, -75.025587, -75.055357, -75.149309, -75.22492, -75.253481, -75.323054, -75.3376, 42.187308, 42.074132, 42.08908, 42.053468, 41.982276, 42.087514, 42.102521, 42.131357, 42.186277, 42.23728, 42.26601, 42.303385, 42.273325, 42.250184, 42.17135, 42.193852, 42.187308))"
14510,ny,4860,133.3,-77.87462,ZCTA5 14510,2201,42.69012,3,7,4,"list(c(-77.973981, -78.015381, -77.980141, -77.926076, -77.820979, -77.82292, -77.821843, -77.784397, -77.752791, -77.814525, -77.827115, -77.856891, -77.919013, -77.918501, -77.973981, 42.651564, 42.609449, 42.609937, 42.637424, 42.606605, 42.661478, 42.680197, 42.680686, 42.714478, 42.75239, 42.804562, 42.794249, 42.754452, 42.712888, 42.651564))"
13310,ny,698,300,-75.5727,ZCTA5 13310,476,42.8922,1,4,3,"list(c(-75.606336, -75.584013, -75.583425, -75.532965, -75.566898, -75.606336, 42.91019, 42.874826, 42.861034, 42.879056, 42.931592, 42.91019))"
12222,ny,6767,150,-73.82536,ZCTA5 12222,3,42.68537,4,10,6,"list(c(-73.839071, -73.815216, -73.830644, -73.839071, 42.691425, 42.68677, 42.693262, 42.691425))"
10302,ny,18144,150,-74.13773,ZCTA5 10302,4568,40.63072,4,10,6,"list(c(-74.146145, -74.130553, -74.1292770094533, -74.143047902138, -74.146145, 40.62493, 40.623096, 40.6412818339788, 40.6398894983198, 40.62493))"
12923,ny,466,100,-73.93899,ZCTA5 12923,632,44.95459,1,2,1,"list(c(-74.0273915898679, -74.007543, -73.964187, -73.899667, -73.891153, -73.8994485663625, -74.0273915898679, 44.9957655091112, 44.892677, 44.889044, 44.895265, 44.957715, 45.0003353560257, 44.9957655091112))"
07450,nj,25999,114.3,-74.11264,ZCTA5 07450,8176,40.98216,7,15,8,"list(c(-74.149095, -74.141048, -74.100061, -74.078293, -74.079451, -74.120184, -74.131828, -74.14121, -74.149095, 40.97113, 40.966348, 40.955076, 40.97848, 40.98994, 41.006398, 41.006675, 40.982761, 40.97113))"
07762,nj,8442,200,-74.03456,ZCTA5 07762,4494,40.15267,2,6,4,"list(c(-74.0156740291585, -74.058977, -74.0253936400298, -74.0156740291585, 40.1674853681272, 40.145639, 40.1381560964048, 40.1674853681272))"
10472,ny,66720,116.7,-73.86931,ZCTA5 10472,4332,40.82956,6,13,7,"list(c(-73.879983, -73.884411, -73.845255, -73.866373, -73.879983, 40.83468, 40.82297, 40.828463, 40.835033, 40.83468))"
13021,ny,37756,133.3,-76.5589,ZCTA5 13021,16286,42.92382,3,7,4,"list(c(-76.679867, -76.664584, -76.633575, -76.599479, -76.523013, -76.43471, -76.450738, -76.461737, -76.457172, -76.492667, -76.595367, -76.66211, -76.679867, 42.955949, 42.866747, 42.869391, 42.83758, 42.808346, 42.823235, 42.84576, 42.988321, 43.006059, 43.015312, 43.010298, 42.996289, 42.955949))"
07640,nj,4801,114.3,-73.98026,ZCTA5 07640,1738,40.98989,7,15,8,"list(c(-73.968737, -73.997831, -73.993849, -73.96304, -73.968737, 41.006811, 40.981537, 40.975302, 40.982738, 41.006811))"
12758,ny,3941,NA,-74.74554,ZCTA5 12758,4027,41.94578,0,1,1,"list(c(-74.810211, -74.810655, -74.859219, -74.875741, -74.924479, -74.913133, -74.906653, -74.857798, -74.847601, -74.816412, -74.767593, -74.785618, -74.756051, -74.638348, -74.601167, -74.670952, -74.535592, -74.669689, -74.702768, -74.780693, -74.810211, 42.029108, 41.988368, 41.953352, 41.893826, 41.857762, 41.838115, 41.799802, 41.807616, 41.806628, 41.794939, 41.836005, 41.869096, 41.907506, 41.902984, 41.940684, 41.970382, 42.024063, 42.067819, 42.05259, 42.016375, 42.029108))"
