geoid (zcta),state_abbr,lon,lat,count_prop,days_above_100_today,days_above_100_30yrs,change_days_above_100,change_perc_above_100
89010,ca,-118.08401,37.77763,1223,0,2,2,NA
89019,ca,-115.73444,35.7662,3867,24,40,16,70.15
89060,ca,-116.06344,36.39429,20533,20,38,18,88.35
89061,ca,-115.89649,36.08748,7051,18,36,17,92.85
89439,ca,-120.00395,39.52955,1451,0,0,0,NA
90001,ca,-118.24951,33.97403,8937,0,1,1,NA
90002,ca,-118.24674,33.9491,8427,0,1,1,NA
90003,ca,-118.27372,33.96414,10611,0,0,0,NA
90004,ca,-118.31072,34.0762,6466,0,1,1,NA
90005,ca,-118.30689,34.05916,1793,0,1,1,NA
90006,ca,-118.29418,34.04804,4241,0,1,1,NA
90007,ca,-118.28483,34.02813,4116,0,1,1,NA
90008,ca,-118.34707,34.00961,6299,0,0,0,NA
90010,ca,-118.31589,34.06215,363,0,0,0,NA
90011,ca,-118.25867,34.00707,12451,0,1,1,NA
90012,ca,-118.23821,34.06601,1892,1,3,2,200
90013,ca,-118.24042,34.04488,773,1,3,2,200
90014,ca,-118.25175,34.04315,413,1,3,2,200
90015,ca,-118.2663,34.03938,2006,0,2,2,NA
90016,ca,-118.35456,34.02877,8488,0,0,0,NA
90017,ca,-118.26434,34.05291,759,0,2,2,NA
90018,ca,-118.31718,34.02889,7526,0,0,0,NA
90019,ca,-118.33874,34.04864,9991,0,0,0,NA
90020,ca,-118.30987,34.06638,1507,0,1,1,NA
90021,ca,-118.23877,34.02934,2111,1,2,1,100
90022,ca,-118.15605,34.02452,10514,1,4,3,300
90023,ca,-118.19984,34.02272,6338,1,3,2,200
90024,ca,-118.43503,34.06574,3747,0,0,0,NA
90025,ca,-118.44592,34.0455,4902,0,0,0,NA
90026,ca,-118.26298,34.07922,10699,1,2,1,100
90027,ca,-118.29057,34.12522,6761,0,2,2,NA
90028,ca,-118.32691,34.09991,2144,0,0,0,NA
90029,ca,-118.29466,34.08985,3239,0,1,1,NA
90031,ca,-118.21078,34.0803,6464,2,7,5,250
90032,ca,-118.17805,34.0796,10956,2,9,7,350
90033,ca,-118.21162,34.05102,4954,1,4,3,300
90034,ca,-118.39945,34.0307,7382,0,0,0,NA
90035,ca,-118.38358,34.05182,5581,0,0,0,NA
90036,ca,-118.34985,34.07014,4855,0,0,0,NA
90037,ca,-118.28749,34.00272,7697,0,0,0,NA
90038,ca,-118.32653,34.08875,3082,0,0,0,NA
90039,ca,-118.26006,34.11184,8252,1,5,4,400
90040,ca,-118.14908,33.99346,3688,1,3,2,200
90041,ca,-118.20764,34.13758,6942,3,10,7,233.3
90042,ca,-118.19195,34.11463,11629,2,9,7,350
90043,ca,-118.33524,33.98885,11869,0,0,0,NA
90044,ca,-118.2919,33.95273,14217,0,0,0,NA
90045,ca,-118.40017,33.95296,11049,0,0,0,NA
90046,ca,-118.36522,34.10742,10320,0,1,1,NA
90047,ca,-118.309,33.95448,13378,0,0,0,NA
90048,ca,-118.37271,34.07293,4888,0,0,0,NA
90049,ca,-118.48927,34.08719,8894,0,0,0,NA
90056,ca,-118.37036,33.98805,2467,0,0,0,NA
90057,ca,-118.2771,34.06216,1402,0,1,1,NA
90058,ca,-118.21387,34.00245,2495,0,1,1,NA
90059,ca,-118.24963,33.92631,7480,0,1,1,NA
90061,ca,-118.27407,33.92036,5252,0,0,0,NA
90062,ca,-118.30882,34.00363,6352,0,0,0,NA
90063,ca,-118.18591,34.04511,8774,1,5,4,400
90064,ca,-118.42493,34.03699,7511,0,0,0,NA
90065,ca,-118.22761,34.10892,12405,2,7,5,250
90066,ca,-118.43061,34.00123,12184,0,0,0,NA
90067,ca,-118.414,34.0576,42,0,0,0,NA
90068,ca,-118.32822,34.12835,8142,0,1,1,NA
90069,ca,-118.3817,34.09383,4300,0,0,0,NA
90071,ca,-118.25494,34.05288,23,1,3,2,200
90073,ca,-118.45703,34.05453,4,0,0,0,NA
90077,ca,-118.45613,34.10545,4785,0,0,0,NA
90079,ca,-118.2554,34.04059,1,1,3,2,200
90089,ca,-118.28028,34.02444,28,0,0,0,NA
90090,ca,-118.24092,34.07285,3,1,4,3,300
90094,ca,-118.417,33.97541,232,0,0,0,NA
90095,ca,-118.44337,34.07123,1,0,0,0,NA
90201,ca,-118.17092,33.97074,9900,0,2,2,NA
90210,ca,-118.41473,34.10106,8326,0,0,0,NA
90211,ca,-118.38298,34.06496,1781,0,0,0,NA
90212,ca,-118.40197,34.06221,2067,0,0,0,NA
90220,ca,-118.23607,33.88077,10367,0,0,0,NA
90221,ca,-118.20594,33.88617,9627,0,1,1,NA
90222,ca,-118.23651,33.91238,6488,0,1,1,NA
90230,ca,-118.3946,33.99724,6258,0,0,0,NA
90232,ca,-118.39175,34.01877,4212,0,0,0,NA
90240,ca,-118.1187,33.95681,6269,1,5,4,400
90241,ca,-118.12913,33.94084,8403,1,4,3,300
90242,ca,-118.14145,33.92211,7745,1,3,2,200
90245,ca,-118.40387,33.9165,4521,0,0,0,NA
90247,ca,-118.29737,33.89135,7724,0,0,0,NA
90248,ca,-118.28351,33.8766,3789,0,0,0,NA
90249,ca,-118.31705,33.90149,6535,0,0,0,NA
90250,ca,-118.34931,33.91432,14155,0,0,0,NA
90254,ca,-118.39928,33.86482,5639,0,0,0,NA
90255,ca,-118.21725,33.977,9681,0,1,1,NA
90260,ca,-118.3513,33.8883,5883,0,0,0,NA
90262,ca,-118.2005,33.9236,10339,0,1,1,NA
90263,ca,-118.70799,34.03903,19,0,0,0,NA
90265,ca,-118.84572,34.06947,10353,0,0,0,NA
90266,ca,-118.40062,33.88967,12359,0,0,0,NA
