geoid,state_abbr,population,change_perc_above_100,lon,name,count_prop,lat,days_above_100_today,days_above_100_30yrs,change_days_above_100,geometry
60901,il,34453,92.9,-87.8981,ZCTA5 60901,15597,41.11083,14,27,13,"list(c(-88.01181, -87.991122, -88.038341, -88.037598, -87.983733, -87.84914, -87.818574, -87.796901, -87.729507, -87.729605, -87.834849, -87.895606, -87.94838, -87.991248, -88.011891, -88.01181, 41.205508, 41.119039, 41.117752, 41.072828, 41.044814, 41.047732, 41.063084, 41.078049, 41.134819, 41.158166, 41.148155, 41.147731, 41.165094, 41.205331, 41.208191, 41.205508))"
61369,il,1320,100,-89.15506,ZCTA5 61369,1409,40.98409,15,30,15,"list(c(-89.23167, -89.184729, -89.12446, -89.066592, -89.161815, -89.180846, -89.232136, -89.23167, 40.976823, 40.926572, 40.94123, 41.009358, 41.044309, 41.007721, 40.984019, 40.976823))"
60433,il,16045,100,-88.04319,ZCTA5 60433,7191,41.49967,11,22,11,"list(c(-88.07932, -88.079491, -88.022102, -88.00227, -88.004821, -88.07932, 41.524007, 41.466346, 41.467664, 41.47523, 41.523756, 41.524007))"
61491,il,2110,116.7,-89.72939,ZCTA5 61491,2142,41.06053,12,26,14,"list(c(-89.782468, -89.8112, -89.811332, -89.85277, -89.811796, -89.769325, -89.696673, -89.657745, -89.61099, -89.581046, -89.592, -89.677015, -89.735128, -89.782468, 41.148078, 41.135054, 41.061853, 41.01874, 40.974649, 41.018165, 40.986109, 40.988313, 41.03189, 41.07562, 41.1122, 41.112366, 41.126838, 41.148078))"
60655,il,28751,100,-87.70378,ZCTA5 60655,10745,41.69478,9,18,9,"list(c(-87.73973, -87.695354, -87.681928, -87.682511, -87.721125, -87.73973, 41.690891, 41.677048, 41.677296, 41.713667, 41.71317, 41.690891))"
60033,il,13658,80,-88.60764,ZCTA5 60033,7725,42.42473,10,18,8,"list(c(-88.7365205864572, -88.705613, -88.657156, -88.618015, -88.579637, -88.534444, -88.508149, -88.471914, -88.471726, -88.5157618970729, -88.5257090172107, -88.6683367404761, -88.7365205864572, 42.4928235548322, 42.355037, 42.327777, 42.312985, 42.356657, 42.357648, 42.414384, 42.414247, 42.479397, 42.4948937482373, 42.4949058290566, 42.4944141419655, 42.4928235548322))"
62033,il,4559,95.2,-89.84426,ZCTA5 62033,3718,39.13405,21,41,20,"list(c(-89.909057, -89.860557, -89.860308, -89.830495, -89.818969, -89.792841, -89.785878, -89.788711, -89.796039, -89.852401, -89.891452, -89.909057, 39.100153, 39.056392, 39.060052, 39.078277, 39.085543, 39.108022, 39.115489, 39.144996, 39.197002, 39.202457, 39.172889, 39.100153))"
61038,il,1310,90,-88.73575,ZCTA5 61038,1166,42.26346,10,19,9,"list(c(-88.783847, -88.808657, -88.74868, -88.739788, -88.705649, -88.70561, -88.657156, -88.705613, -88.783847, 42.327834, 42.260901, 42.233519, 42.160834, 42.184329, 42.327882, 42.327777, 42.355037, 42.327834))"
62356,il,669,81.8,-91.0858,ZCTA5 62356,1144,39.60141,22,40,18,"list(c(-91.15333, -91.178012, -91.1666216178327, -91.0982008530643, -91.035898, -90.96392, -90.96607, -91.019105, -91.10961, -91.15333, 39.66503, 39.598196, 39.5625382517558, 39.5360276291834, 39.57966, 39.57878, 39.60772, 39.653404, 39.64667, 39.66503))"
61048,il,3952,112.5,-89.83554,ZCTA5 61048,2708,42.38354,8,17,9,"list(c(-89.94985, -89.943125, -89.872365, -89.768477, -89.764396, -89.749389, -89.703306, -89.735501, -89.769854, -89.84831, -89.925303, -89.949883, -89.94985, 42.444459, 42.356695, 42.327606, 42.313722, 42.332134, 42.33967, 42.366859, 42.421888, 42.422935, 42.444534, 42.444602, 42.448073, 42.444459))"
61841,il,1161,100,-87.82428,ZCTA5 61841,1646,40.02636,16,32,16,"list(c(-87.9017, -87.90083, -87.8818, -87.86113, -87.80934, -87.75644, -87.75324, -87.813579, -87.852981, -87.9017, 40.067057, 39.98204, 39.963083, 39.95323, 39.96861, 39.99863, 40.087407, 40.093536, 40.065647, 40.067057))"
