fips,count_property,pct_major,pct_severe,state,tract
06001400100,1910,0,0,06,001400100
06001400200,663,0,0,06,001400200
06001400300,1564,0,0,06,001400300
06001400400,1133,0,0,06,001400400
06001400500,926,0,0,06,001400500
06001400600,469,0,0,06,001400600
06001400700,1204,0,0,06,001400700
06001400800,969,0,0,06,001400800
06001400900,726,0,0,06,001400900
06001401000,1552,0,0,06,001401000
06001401100,839,0,0,06,001401100
06001401200,741,0,0,06,001401200
06001401300,468,0,0,06,001401300
06001401400,896,0,0,06,001401400
06001401500,618,0,0,06,001401500
06001401600,520,0,0,06,001401600
06001401700,1025,0,0,06,001401700
06001401800,440,0,0,06,001401800
06001402200,734,0,0,06,001402200
06001402400,438,0,0,06,001402400
06001402500,193,0,0,06,001402500
06001402600,140,0,0,06,001402600
06001402700,405,0,0,06,001402700
06001402801,145,0,0,06,001402801
06001402802,97,0,0,06,001402802
06001402900,196,0,0,06,001402900
06001403000,210,0,0,06,001403000
06001403100,140,0,0,06,001403100
06001403301,172,0,0,06,001403301
06001403302,145,0,0,06,001403302
06001403401,64,0,0,06,001403401
06001403402,36,0,0,06,001403402
06001403501,492,0,0,06,001403501
06001403502,229,0,0,06,001403502
06001403600,317,0,0,06,001403600
06001403701,143,0,0,06,001403701
06001403702,145,0,0,06,001403702
06001403800,889,0,0,06,001403800
06001403900,568,0,0,06,001403900
06001404000,425,0,0,06,001404000
06001404101,747,0,0,06,001404101
06001404102,278,0,0,06,001404102
06001404200,1275,0,0,06,001404200
06001404300,1286,0,0,06,001404300
06001404400,2284,0,0,06,001404400
06001404501,694,0,0,06,001404501
06001404502,2771,0,0,06,001404502
06001404600,2230,0,0,06,001404600
06001404700,862,0,0,06,001404700
06001404800,775,0,0,06,001404800
06001404900,1424,0,0,06,001404900
06001405000,1125,0,0,06,001405000
06001405100,1633,0,0,06,001405100
06001405200,976,0,0,06,001405200
06001405301,259,0,0,06,001405301
06001405302,209,0,0,06,001405302
06001405401,428,0,0,06,001405401
06001405402,357,0,0,06,001405402
06001405500,601,0,0,06,001405500
06001405600,601,0,0,06,001405600
06001405700,646,0,0,06,001405700
06001405800,842,0,0,06,001405800
06001405901,597,0,0,06,001405901
06001405902,582,0,0,06,001405902
06001406000,748,0,0,06,001406000
06001406100,1071,0,0,06,001406100
06001406201,600,0,0,06,001406201
06001406202,448,0,0,06,001406202
06001406300,770,0,0,06,001406300
06001406400,530,0,0,06,001406400
06001406500,1075,0,0,06,001406500
06001406601,1048,0,0,06,001406601
06001406602,452,0,0,06,001406602
06001406700,1913,0,0,06,001406700
06001406800,1260,0,0,06,001406800
06001406900,1063,0,0,06,001406900
06001407000,1345,0,0,06,001407000
06001407101,576,0,0,06,001407101
06001407102,999,0,0,06,001407102
06001407200,950,0,0,06,001407200
06001407300,897,0,0,06,001407300
06001407400,728,0,0,06,001407400
06001407500,708,0,0,06,001407500
06001407600,1479,0,0,06,001407600
06001407700,1671,0,0,06,001407700
06001407800,695,0,0,06,001407800
06001407900,1059,0,0,06,001407900
06001408000,1114,0,0,06,001408000
06001408100,2420,0,0,06,001408100
06001408200,1194,0,0,06,001408200
06001408300,1611,0,0,06,001408300
06001408400,954,0,0,06,001408400
06001408500,1293,0,0,06,001408500
06001408600,1466,0,0,06,001408600
06001408700,1790,0,0,06,001408700
06001408800,968,0,0,06,001408800
06001408900,721,0,0,06,001408900
06001409000,1397,0,0,06,001409000
06001409100,709,0,0,06,001409100
06001409200,864,0,0,06,001409200
06001409300,1262,0,0,06,001409300
06001409400,1123,0,0,06,001409400
06001409500,808,0,0,06,001409500
06001409600,1118,0,0,06,001409600
06001409700,1030,0,0,06,001409700
06001409800,1062,0,0,06,001409800
06001409900,1445,0,0,06,001409900
06001410000,1256,0,0,06,001410000
06001410100,852,0,0,06,001410100
06001410200,890,0,0,06,001410200
06001410300,704,0,0,06,001410300
06001410400,1066,0,0,06,001410400
06001410500,277,0,0,06,001410500
06001420100,876,0,0,06,001420100
06001420200,752,0,0,06,001420200
06001420301,293,0,0,06,001420301
06001420302,711,0,0,06,001420302
06001420401,6,0,0,06,001420401
06001420402,29,0,0,06,001420402
06001420500,744,0,0,06,001420500
06001420600,1241,0,0,06,001420600
06001421100,874,0,0,06,001421100
06001421200,1487,0,0,06,001421200
06001421300,1593,0,0,06,001421300
06001421400,617,0,0,06,001421400
06001421500,1651,0,0,06,001421500
06001421600,1522,0,0,06,001421600
06001421700,663,0,0,06,001421700
06001421800,717,0,0,06,001421800
06001421900,1375,0,0,06,001421900
06001422000,999,0,0,06,001422000
06001422100,719,0,0,06,001422100
06001422200,904,0,0,06,001422200
06001422300,783,0,0,06,001422300
06001422400,476,0,0,06,001422400
06001422500,439,0,0,06,001422500
06001422700,297,0,0,06,001422700
06001422800,245,0,0,06,001422800
06001422901,106,0,0,06,001422901
06001422902,198,0,0,06,001422902
06001423000,1022,0,0,06,001423000
06001423100,1040,0,0,06,001423100
06001423200,564,0,0,06,001423200
06001423300,1119,0,0,06,001423300
06001423400,1097,0,0,06,001423400
06001423500,641,0,0,06,001423500
06001423601,624,0,0,06,001423601
06001423602,485,0,0,06,001423602
06001423700,622,0,0,06,001423700
06001423800,1147,0,0,06,001423800
06001423901,519,0,0,06,001423901
06001423902,376,0,0,06,001423902
06001424001,685,0,0,06,001424001
06001424002,543,0,0,06,001424002
06001425101,54,0,0,06,001425101
06001425102,118,0,0,06,001425102
06001425103,486,0,0,06,001425103
06001425104,472,0,0,06,001425104
06001426100,2323,0,0,06,001426100
06001426200,1672,0,0,06,001426200
06001427100,1360,0,0,06,001427100
06001427200,1035,0,0,06,001427200
06001427300,1349,0,0,06,001427300
06001427600,309,0,0,06,001427600
06001427700,992,0,0,06,001427700
06001427800,1137,0,0,06,001427800
06001427900,1010,0,0,06,001427900
06001428000,448,0,0,06,001428000
06001428100,1355,0,0,06,001428100
06001428200,1957,0,0,06,001428200
06001428301,2658,0,0,06,001428301
06001428302,2614,0,0,06,001428302
06001428400,672,0,0,06,001428400
06001428500,444,0,0,06,001428500
06001428600,576,0,0,06,001428600
06001428700,1003,0,0,06,001428700
06001430101,2671,0,0,06,001430101
06001430102,1138,0,0,06,001430102
06001430200,2622,0,0,06,001430200
06001430300,1413,0,0,06,001430300
06001430400,786,0,0,06,001430400
06001430500,1611,0,0,06,001430500
06001430600,2064,0,0,06,001430600
06001430700,1372,0,0,06,001430700
06001430800,1766,0,0,06,001430800
06001430900,695,0,0,06,001430900
06001431000,590,0,0,06,001431000
06001431100,715,0,0,06,001431100
06001431200,1481,0,0,06,001431200
06001432100,1347,0,0,06,001432100
06001432200,1064,0,0,06,001432200
06001432300,1482,0,0,06,001432300
06001432400,1670,0,0,06,001432400
06001432501,1250,0,0,06,001432501
06001432502,1128,0,0,06,001432502
06001432601,701,0,0,06,001432601
06001432602,555,0,0,06,001432602
06001432700,868,0,0,06,001432700
06001432800,1499,0,0,06,001432800
06001433000,1390,0,0,06,001433000
06001433102,1171,0,0,06,001433102
06001433103,511,0,0,06,001433103
06001433104,576,0,0,06,001433104
06001433200,1541,0,0,06,001433200
06001433300,2239,0,0,06,001433300
06001433400,1577,0,0,06,001433400
06001433500,1385,0,0,06,001433500
06001433600,1499,0,0,06,001433600
06001433700,874,0,0,06,001433700
06001433801,728,0,0,06,001433801
06001433802,950,0,0,06,001433802
06001433900,548,0,0,06,001433900
06001434000,962,0,0,06,001434000
06001435102,1363,0,0,06,001435102
06001435103,2957,0,0,06,001435103
06001435104,1015,0,0,06,001435104
06001435200,1483,0,0,06,001435200
06001435300,1017,0,0,06,001435300
06001435400,998,0,0,06,001435400
06001435500,890,0,0,06,001435500
06001435601,697,0,0,06,001435601
06001435602,900,0,0,06,001435602
06001435700,1174,0,0,06,001435700
06001435800,1635,0,0,06,001435800
06001435900,1753,0,0,06,001435900
06001436000,1528,0,0,06,001436000
06001436100,1379,0,0,06,001436100
06001436200,394,0,0,06,001436200
06001436301,893,0,0,06,001436301
06001436302,818,0,0,06,001436302
06001436402,1252,0,0,06,001436402
06001436403,898,0,0,06,001436403
06001436404,1281,0,0,06,001436404
06001436500,834,0,0,06,001436500
06001436601,1067,0,0,06,001436601
06001436602,617,0,0,06,001436602
06001436700,824,0,0,06,001436700
06001436800,682,0,0,06,001436800
06001436900,1119,0,0,06,001436900
06001437000,911,0,0,06,001437000
06001437101,3060,0,0,06,001437101
06001437102,1021,0,0,06,001437102
06001437200,1886,0,0,06,001437200
06001437300,695,0,0,06,001437300
06001437400,968,0,0,06,001437400
06001437500,495,0,0,06,001437500
06001437600,650,0,0,06,001437600
06001437701,308,0,0,06,001437701
06001437702,232,0,0,06,001437702
06001437800,1265,0,0,06,001437800
06001437900,500,0,0,06,001437900
06001438000,932,0,0,06,001438000
06001438100,1958,0,0,06,001438100
06001438201,817,0,0,06,001438201
06001438203,1306,0,0,06,001438203
06001438204,1046,0,0,06,001438204
06001438300,937,0,0,06,001438300
06001438400,639,0,0,06,001438400
06001440100,445,0,0,06,001440100
06001440200,1286,0,0,06,001440200
06001440301,1600,0,0,06,001440301
06001440304,1247,0,0,06,001440304
06001440305,1040,0,0,06,001440305
06001440306,1022,0,0,06,001440306
06001440307,710,0,0,06,001440307
06001440308,1224,0,0,06,001440308
06001440331,724,0,0,06,001440331
06001440332,920,0,0,06,001440332
06001440333,888,0,0,06,001440333
06001440334,1097,0,0,06,001440334
06001440336,964,0,0,06,001440336
06001440337,824,0,0,06,001440337
06001440338,401,0,0,06,001440338
06001441100,1365,0,0,06,001441100
06001441200,2219,0,0,06,001441200
06001441301,739,0,0,06,001441301
06001441302,1603,0,0,06,001441302
06001441401,2022,0,0,06,001441401
06001441402,1590,0,0,06,001441402
06001441501,1703,0,0,06,001441501
06001441503,2895,0,0,06,001441503
06001441521,1635,0,0,06,001441521
06001441522,1495,0,0,06,001441522
06001441523,546,0,0,06,001441523
06001441524,940,0,0,06,001441524
06001441525,517,0,0,06,001441525
06001441601,1443,0,0,06,001441601
06001441602,1552,0,0,06,001441602
06001441701,918,0,0,06,001441701
06001441702,575,0,0,06,001441702
06001441800,1757,0,0,06,001441800
06001441921,639,0,0,06,001441921
06001441923,240,0,0,06,001441923
06001441924,1686,0,0,06,001441924
06001441926,271,0,0,06,001441926
06001441927,569,0,0,06,001441927
06001441928,154,0,0,06,001441928
06001441929,24,0,0,06,001441929
06001442000,1181,0,0,06,001442000
06001442100,1703,0,0,06,001442100
06001442200,2391,0,0,06,001442200
06001442301,1051,0,0,06,001442301
06001442302,764,0,0,06,001442302
06001442400,1673,0,0,06,001442400
06001442501,830,0,0,06,001442501
06001442502,845,0,0,06,001442502
06001442601,1069,0,0,06,001442601
06001442602,1076,0,0,06,001442602
06001442700,938,0,0,06,001442700
06001442800,995,0,0,06,001442800
06001442900,1903,0,0,06,001442900
06001443001,854,0,0,06,001443001
06001443002,1489,0,0,06,001443002
06001443102,1556,0,0,06,001443102
06001443103,1382,0,0,06,001443103
06001443104,1697,0,0,06,001443104
06001443105,1545,0,0,06,001443105
06001443200,1288,0,0,06,001443200
06001443301,1287,0,0,06,001443301
06001443321,192,0,0,06,001443321
06001443322,950,0,0,06,001443322
06001444100,2427,0,0,06,001444100
06001444200,1847,0,0,06,001444200
06001444301,999,0,0,06,001444301
06001444303,12,0,0,06,001444303
06001444304,2298,0,0,06,001444304
06001444400,1058,0,0,06,001444400
06001444500,1390,0,0,06,001444500
06001444601,1918,0,0,06,001444601
