fips,name,count_property,pct_major,pct_severe,number_major,number_severe
01,Alabama,3013150,14.2,10.7,427967,322353
02,Alaska,354927,16,10.5,56631,37272
05,Arkansas,1915562,11.4,8.1,217543,155718
04,Arizona,3224890,7.4,3.5,238451,112176
06,California,11336564,15.4,6.4,1740917,726292
08,Colorado,2490924,6.5,3.7,162535,91865
09,Connecticut,1151982,12.2,7.9,140804,90588
11,District of Columbia,136044,7.4,3.4,10116,4638
10,Delaware,422973,12.1,8.2,51274,34757
12,Florida,8974504,26.9,16,2415405,1435852
13,Georgia,4412194,9.6,6.7,424082,294658
15,Hawaii,380830,26.9,20.8,102622,79373
19,Iowa,2426587,13.8,9.4,334168,227405
16,Idaho,1036533,16.8,9.1,173743,94766
17,Illinois,5241797,11.1,5.7,582641,300402
18,Indiana,3511729,9.9,5.7,348222,201064
20,Kansas,1633419,9,5.1,146749,82889
21,Kentucky,2028439,13.2,10.1,268009,205105
22,Louisiana,2365126,40.3,30.6,952962,723609
25,Massachusetts,2181953,12.6,7.5,275789,163645
24,Maryland,2192293,7.6,5.2,166266,114455
23,Maine,687353,11.3,8.3,77491,56953
26,Michigan,4635190,8.2,4,380827,185605
27,Minnesota,2964239,10,5.7,297854,170222
29,Missouri,3186489,9.8,7.1,312651,224973
28,Mississippi,1903809,17.6,13.1,335198,249872
30,Montana,892654,16.6,9.9,147820,88803
37,North Carolina,5450548,12,8.8,654928,479995
38,North Dakota,678749,10.8,6.2,72974,42203
31,Nebraska,1137662,10,5.5,113329,62801
33,New Hampshire,580542,13.3,9.8,77277,56712
34,New Jersey,3449077,13.9,9.3,480849,320283
35,New Mexico,1495095,11.6,4.9,173283,73524
32,Nevada,1208954,7.9,2.4,95313,28575
36,New York,5374536,13.2,8,709702,429032
39,Ohio,6056610,9.4,6.1,567898,368336
40,Oklahoma,2215544,8.9,5.7,196274,125928
41,Oregon,1804234,18,10.9,324282,197132
42,Pennsylvania,5721836,11.7,8.5,666996,483853
72,Puerto Rico,1270463,16,9.8,202985,123990
44,Rhode Island,383719,9.4,5.5,35960,20950
45,South Carolina,2615777,13.9,9.4,362707,245277
46,South Dakota,666245,11.2,7.5,74813,50028
47,Tennessee,3244647,12.1,8.9,393080,290071
48,Texas,11957156,12.3,6.7,1474065,806007
49,Utah,1362748,9.9,4.3,134932,58835
51,Virginia,3794884,10.7,7.7,405311,290702
50,Vermont,312127,15.7,12.5,49043,39022
53,Washington,3025340,14.5,9.2,439400,277753
55,Wisconsin,3378115,11.1,6.9,374736,234574
54,West Virginia,1427312,31.3,27.4,447000,391016
56,Wyoming,339101,13.6,6.6,45953,22481
