fips,name,count_property,pct_major,pct_severe,number_major,number_severe
01,Alabama,3019110,97.4,40.3,2941272,1216467
05,Arkansas,1923556,85.4,15.3,1642695,293433
04,Arizona,3225763,90.6,80.4,2922988,2594155
06,California,11341358,68.9,36.1,7816924,4095573
08,Colorado,2491326,3.3,0,81778,0
09,Connecticut,1152158,65.3,3.1,752256,35252
11,District of Columbia,136539,100,85.5,136539,116723
10,Delaware,423020,100,92.9,423020,392895
12,Florida,8906820,100,100,8906820,8906820
13,Georgia,4413839,93.8,32.6,4140709,1438200
19,Iowa,2426996,0,0,8,0
16,Idaho,1036915,19.5,0,201929,1
17,Illinois,5242398,10.1,0,527637,388
18,Indiana,3512391,9.4,0,331852,30
20,Kansas,1633521,51.2,0,836590,6
21,Kentucky,2029296,47.3,0.1,959298,1511
22,Louisiana,2365184,100,97.5,2365184,2305356
25,Massachusetts,2182311,57.1,0.1,1245052,2694
24,Maryland,2192534,96.8,62.5,2122026,1371144
23,Maine,684357,2.7,0,18374,0
26,Michigan,4634490,0,0,1,0
27,Minnesota,2964704,0,0,0,0
29,Missouri,3191502,39.6,0,1262534,152
28,Mississippi,1904494,100,68.7,1904494,1309239
30,Montana,893972,0,0,0,0
37,North Carolina,5450304,87.2,32.9,4751826,1792681
38,North Dakota,679022,0,0,0,0
31,Nebraska,1138191,0,0,4,0
33,New Hampshire,580661,2.8,0,16497,1
34,New Jersey,3449541,95.2,55,3282768,1896914
35,New Mexico,1495381,51.7,0.1,773327,1633
32,Nevada,1209304,76.6,66.2,926420,801084
36,New York,5376330,37.5,8.2,2017681,441154
39,Ohio,6061948,2.9,0,176813,5
40,Oklahoma,2215755,99.4,9.4,2202370,208351
41,Oregon,1807336,10.9,0.3,197231,6124
42,Pennsylvania,5726734,42.1,4.5,2412691,257191
44,Rhode Island,383802,83.9,0,322087,130
45,South Carolina,2615495,99.7,51.2,2607720,1339164
46,South Dakota,666388,0,0,0,0
47,Tennessee,3278734,83.5,4.3,2736505,140815
48,Texas,11957648,98.9,85.9,11830600,10266205
49,Utah,1363459,16.5,5,225073,67623
51,Virginia,3795418,83.2,51.5,3156681,1954735
50,Vermont,312306,0,0,1,0
53,Washington,3029931,4.9,0,149869,0
55,Wisconsin,3379083,0,0,0,0
54,West Virginia,1432244,24.1,0,344911,5
56,Wyoming,339207,0,0,6,0
