fips,name,count_property,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
01,Alabama,3041645,2506572,3082,39877,62867,45358,82366,57488,77542,113720,47016
02,Alaska,349530,271352,1120,5260,7117,7597,11646,9651,10036,11803,6432
04,Arizona,3312010,2707622,56398,151273,147282,76055,78984,32004,27984,25519,8746
05,Arkansas,2009228,1673613,3121,34523,43496,30045,50210,33822,47792,62172,24072
06,California,11422746,8727369,125386,412001,616036,548431,453276,190256,139705,122883,84143
08,Colorado,2517292,2205244,4126,41481,74607,33956,60793,27130,25376,28331,15916
09,Connecticut,1162656,942730,1089,18756,31609,21784,41287,25085,28491,34776,17031
10,Delaware,428859,326805,546,13813,19137,11655,21263,10232,10132,9632,5644
11,District of Columbia,136963,109721,114,2314,5345,3387,6417,3544,3283,2352,486
12,Florida,9198415,5924575,38566,393976,683359,364575,544403,283875,277310,468823,217959
13,Georgia,4455881,3873697,4281,51631,76821,62869,97392,72460,84823,97145,33549
15,Hawaii,382089,250088,507,9227,11506,9455,15055,14690,25971,33674,11878
16,Idaho,1047769,824892,10782,35178,45051,32866,37316,18965,15080,17213,10277
17,Illinois,5244277,4107543,11257,184288,310461,111908,256697,77988,76091,81503,26404
18,Indiana,3550496,2899216,6158,83175,131304,69304,133299,57889,62684,74880,32540
19,Iowa,2440064,2003165,2726,37158,67818,45521,75771,43871,61575,74229,28182
20,Kansas,1622856,1382182,2773,29807,55887,25068,48402,21738,24496,24978,7521
21,Kentucky,2138757,1708693,1801,25500,48138,32717,59235,38839,55825,90872,76853
22,Louisiana,2359176,1118348,7268,75933,162824,126566,250798,191520,267228,107938,50726
23,Maine,702415,596453,1403,9812,13259,9468,14925,10694,14037,19908,12416
24,Maryland,2197448,1831197,1714,34765,57522,34626,64215,38396,46569,56241,32158
25,Massachusetts,2178427,1788356,3293,40163,70976,47883,79915,44668,35719,40403,27022
26,Michigan,4704291,3888337,14919,139371,193148,93361,177677,65573,59207,53927,18724
27,Minnesota,2992027,2522816,5938,70248,94571,57922,90704,45993,44469,42987,16345
28,Mississippi,1931440,1478668,2981,39363,62867,49116,72135,46816,68476,84644,26360
29,Missouri,3223900,2777120,1626,30266,62100,38806,77265,49045,59635,89080,35256
30,Montana,899557,713713,4741,23835,30056,24809,33464,19254,18820,21008,8839
31,Nebraska,1150099,975876,4523,23471,39327,19142,32173,15177,15943,18037,6009
32,Nevada,1212856,1072236,5327,31629,47014,19943,19592,7757,5471,2963,830
33,New Hampshire,591974,499671,773,7139,12884,8665,15451,9720,12042,17364,8224
34,New Jersey,3437516,2501935,3935,85898,134859,98478,171930,103865,112053,141649,82857
35,New Mexico,1496419,1203365,15524,49850,73052,44433,49648,20974,17942,15527,6051
36,New York,5392713,4120349,11241,130980,219859,137750,259462,143777,133561,155687,79889
37,North Carolina,5521472,4583851,4327,72434,121401,79034,149052,92863,126663,181503,110109
38,North Dakota,688263,556399,3053,21044,27073,14004,24401,12470,13917,12667,3221
39,Ohio,6090889,5057564,9090,125971,176130,107848,186158,93674,103965,145018,83843
40,Oklahoma,2259475,2001515,2629,30381,42954,28016,45456,25727,31231,36814,14712
41,Oregon,1810008,1464230,7758,37463,68148,50580,56742,35980,29317,34231,23001
42,Pennsylvania,5733234,4529356,2022,74237,160725,106693,199288,123741,165068,231346,138073
44,Rhode Island,383811,324906,549,7694,10749,6464,12176,5554,5176,6175,4359
45,South Carolina,2662675,2175377,5486,55034,77960,48160,84158,50447,57968,67060,40778
46,South Dakota,689940,576224,872,14017,18232,11076,20549,12089,15321,16494,5061
47,Tennessee,3324406,2761277,2772,32002,66841,44407,83115,54683,75513,111825,60521
48,Texas,12392049,9147928,34821,427358,660047,384104,673539,317866,351964,272276,121954
49,Utah,1396242,1086275,8440,44525,75761,40223,61292,27793,23984,20319,7559
50,Vermont,312513,262504,289,2803,6127,4179,6854,4981,6552,11405,6802
51,Virginia,3854109,3136644,6263,76160,104725,63965,109576,64940,85569,123088,83071
53,Washington,3081709,2622272,6542,35466,69754,62574,81432,48974,43482,56642,49749
54,West Virginia,1363474,876059,1324,11123,25259,30574,41882,34399,49550,123698,167313
55,Wisconsin,3375634,2758396,7444,78943,114159,60853,118621,60692,68443,79822,28114
56,Wyoming,339264,282903,1422,7714,11310,8956,11123,5796,4858,3960,1197
72,Puerto Rico,1274043,1085096,674,15512,31919,22011,32250,19768,23664,27510,15563
