fips,name,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
01001,"Autauga County, AL",30110,0,0,0,0,3,8881,20583,643,0,0
01003,"Baldwin County, AL",141270,0,0,0,0,0,0,33,14110,37990,89137
01005,"Barbour County, AL",23235,0,0,0,0,0,1186,16880,5169,0,0
01007,"Bibb County, AL",14966,0,0,0,0,68,11095,3743,60,0,0
01009,"Blount County, AL",43104,0,0,0,3267,32425,7412,0,0,0,0
01011,"Bullock County, AL",9508,0,0,0,0,0,4246,5257,5,0,0
01013,"Butler County, AL",18902,0,0,0,0,0,85,13637,5180,0,0
01015,"Calhoun County, AL",73059,0,0,1,269,9741,58781,4265,2,0,0
01017,"Chambers County, AL",24203,0,0,0,0,7890,15382,931,0,0,0
01019,"Cherokee County, AL",32454,0,0,52,1452,14249,16655,46,0,0,0
01021,"Chilton County, AL",29550,0,0,0,0,134,24062,5349,5,0,0
01023,"Choctaw County, AL",20331,0,0,0,0,0,3052,16795,484,0,0
01025,"Clarke County, AL",28295,0,0,0,0,0,6287,20210,1797,1,0
01027,"Clay County, AL",14532,0,0,1,142,9798,4590,1,0,0,0
01029,"Cleburne County, AL",14636,0,0,17,607,11853,2159,0,0,0,0
01031,"Coffee County, AL",34238,0,0,0,0,0,0,4182,30053,3,0
01033,"Colbert County, AL",41214,0,0,0,26,11885,28161,1142,0,0,0
01035,"Conecuh County, AL",16022,0,0,0,0,0,3,6728,9291,0,0
01037,"Coosa County, AL",14244,0,0,0,1,668,13016,559,0,0,0
01039,"Covington County, AL",30882,0,0,0,0,0,0,2323,28234,325,0
01041,"Crenshaw County, AL",14893,0,0,0,0,0,33,11022,3838,0,0
01043,"Cullman County, AL",54996,0,0,1,14641,36764,3588,2,0,0,0
01045,"Dale County, AL",29526,0,0,0,0,0,3,13584,15939,0,0
01047,"Dallas County, AL",31323,0,0,0,0,0,5575,24401,1347,0,0
01049,"DeKalb County, AL",48987,0,0,109,15338,26489,6163,888,0,0,0
01051,"Elmore County, AL",49173,0,0,0,0,1,14580,32218,2374,0,0
01053,"Escambia County, AL",29817,0,0,0,0,0,0,637,29071,109,0
01055,"Etowah County, AL",74030,0,0,6,1373,23804,47124,1720,3,0,0
01057,"Fayette County, AL",19171,0,0,0,1,7836,10908,426,0,0,0
01059,"Franklin County, AL",22545,0,0,0,267,15447,6805,26,0,0,0
01061,"Geneva County, AL",22796,0,0,0,0,0,0,123,22649,24,0
01063,"Greene County, AL",10638,0,0,0,0,0,7068,3569,1,0,0
01065,"Hale County, AL",15457,0,0,0,0,103,10306,5029,19,0,0
01067,"Henry County, AL",19265,0,0,0,0,0,4,10433,8828,0,0
01069,"Houston County, AL",58618,0,0,0,0,0,0,7108,51505,5,0
01071,"Jackson County, AL",43422,0,0,1577,10070,18404,13212,157,2,0,0
01073,"Jefferson County, AL",318827,0,0,0,403,59652,217380,41366,26,0,0
01075,"Lamar County, AL",16319,0,0,0,0,3068,12664,587,0,0,0
01077,"Lauderdale County, AL",51866,0,0,0,21,24563,27151,130,1,0,0
01079,"Lawrence County, AL",24025,0,0,0,631,18595,4798,1,0,0,0
01081,"Lee County, AL",64435,0,0,0,0,7366,49056,8005,8,0,0
01083,"Limestone County, AL",51935,0,0,0,180,39734,12012,9,0,0,0
01085,"Lowndes County, AL",12045,0,0,0,0,0,606,10987,452,0,0
01087,"Macon County, AL",19625,0,0,0,0,0,12707,6863,55,0,0
01089,"Madison County, AL",166323,0,0,1197,3720,80446,80752,207,1,0,0
01091,"Marengo County, AL",21586,0,0,0,0,0,8173,13289,124,0,0
01093,"Marion County, AL",25381,0,0,0,59,15247,9930,145,0,0,0
01095,"Marshall County, AL",58316,0,0,3,13087,40038,5183,5,0,0,0
01097,"Mobile County, AL",207430,0,0,0,0,0,0,34,27921,147330,32145
01099,"Monroe County, AL",22733,0,0,0,0,0,253,17797,4683,0,0
01101,"Montgomery County, AL",103409,0,0,0,0,0,539,72908,29962,0,0
01103,"Morgan County, AL",60210,0,0,0,6586,30740,22849,35,0,0,0
01105,"Perry County, AL",10185,0,0,0,0,52,8015,2118,0,0,0
01107,"Pickens County, AL",20510,0,0,0,0,346,17215,2946,3,0,0
