fips,name,count_property,count_firefactor1,count_firefactor2,count_firefactor3,count_firefactor4,count_firefactor5,count_firefactor6,count_firefactor7,count_firefactor8,count_firefactor9,count_firefactor10
01,Alabama,3019293,159432,2249998,463822,92315,26667,16462,4843,2414,1242,2098
05,Arkansas,1923555,269433,1386722,242517,21034,2427,1094,221,86,18,3
04,Arizona,3225720,688535,540926,534907,463113,257864,318442,187074,115200,80342,39317
06,California,11341378,3801139,2405617,1559447,1020398,586942,852565,468400,351241,176269,119360
08,Colorado,2491600,405980,824785,754473,329285,75742,55254,29127,8665,5752,2537
09,Connecticut,1152145,601568,550316,261,0,0,0,0,0,0,0
11,District of Columbia,136504,132095,4409,0,0,0,0,0,0,0,0
10,Delaware,423014,251878,171041,90,5,0,0,0,0,0,0
12,Florida,8975269,1467424,3210209,1702436,1054787,494520,451817,188485,115574,89801,200216
13,Georgia,4413819,1683986,2394457,311198,22531,1304,337,6,0,0,0
19,Iowa,2426958,1546152,828027,51541,1066,35,31,33,33,40,0
16,Idaho,1036902,102498,491663,141094,105633,54926,52347,30367,22044,13137,23193
17,Illinois,5242373,4590680,645037,6652,4,0,0,0,0,0,0
18,Indiana,3512171,3119934,325469,49750,10776,3534,2706,2,0,0,0
20,Kansas,1633511,444071,764628,244839,98666,31352,26710,10759,6272,4270,1944
21,Kentucky,2029274,1161138,782158,77978,6993,739,220,32,9,7,0
22,Louisiana,2365207,966436,1122068,208653,44267,12056,8608,1380,669,469,601
25,Massachusetts,2182306,1280577,890515,11212,2,0,0,0,0,0,0
24,Maryland,2192495,1381805,785370,13712,3171,1850,4908,444,319,294,622
23,Maine,687473,541085,145900,488,0,0,0,0,0,0,0
26,Michigan,4635750,3883257,735680,14221,2171,380,41,0,0,0,0
27,Minnesota,2964693,1242898,1509140,169041,23685,7653,6610,2099,1075,782,1710
29,Missouri,3191486,1456945,1452469,220918,45969,10923,3675,514,69,4,0
28,Mississippi,1904478,168007,1119777,377514,117813,44754,43488,17277,10511,3758,1579
30,Montana,894028,57972,339324,200847,128845,64868,53469,24315,14778,7138,2472
37,North Carolina,5451276,1835981,2953404,411776,153341,49156,28781,9278,4785,3766,1008
38,North Dakota,678991,282631,237413,92197,33013,14019,9651,4366,2298,1994,1409
31,Nebraska,1138165,489880,451205,108631,38300,20932,18025,5481,3564,1653,494
33,New Hampshire,580655,509223,71431,1,0,0,0,0,0,0,0
34,New Jersey,3449513,1264240,1658644,275413,79648,36398,33847,16245,15913,35045,34120
35,New Mexico,1495384,73000,320095,340928,351824,108445,110343,62181,46309,37159,45100
32,Nevada,1209299,410387,241527,166978,76206,41916,51737,58375,49054,54420,58699
36,New York,5376590,4042832,1232661,63236,36140,1715,6,0,0,0,0
39,Ohio,6061929,5773976,281593,6360,0,0,0,0,0,0,0
40,Oklahoma,2215744,255742,670769,519446,317859,166313,152700,62864,38215,19519,12317
41,Oregon,1807309,701120,755276,206821,73412,30413,21451,6749,8649,3027,391
42,Pennsylvania,5726704,4480259,1244249,2191,5,0,0,0,0,0,0
44,Rhode Island,383797,383797,0,0,0,0,0,0,0,0,0
45,South Carolina,2616091,371594,1527011,519362,151832,35751,9747,750,44,0,0
46,South Dakota,666366,127273,227128,93647,53616,43105,53284,25554,22712,11399,8648
47,Tennessee,3278730,1119401,1944681,200114,13788,686,60,0,0,0,0
48,Texas,11957698,2106790,4406894,2590634,1166809,499156,462062,236530,214640,151042,123141
49,Utah,1363448,164623,371775,231223,170665,92850,99695,61101,55993,40746,74777
51,Virginia,3795413,1081313,2555912,154782,3273,108,18,7,0,0,0
50,Vermont,312262,296484,15778,0,0,0,0,0,0,0,0
53,Washington,3031713,1850746,653024,218037,122631,70877,68568,28596,14641,3681,912
55,Wisconsin,3379139,2238208,1118498,21270,1116,36,11,0,0,0,0
54,West Virginia,1432239,668766,702362,59072,1637,236,114,26,23,1,2
56,Wyoming,339183,6634,78838,93764,46377,36032,34709,20681,15197,5963,988
