fips,namelsad,count_property,count_firefactor1,count_firefactor2,count_firefactor3,count_firefactor4,count_firefactor5,count_firefactor6,count_firefactor7,count_firefactor8,count_firefactor9,count_firefactor10
01069,Houston County,58618,8034,3988,28153,16799,1618,26,0,0,0,0
01071,Jackson County,43473,3035,4810,19775,10324,4256,1040,233,0,0,0
01073,Jefferson County,318828,85845,75276,107474,40565,8942,684,41,1,0,0
01075,Lamar County,16319,192,1100,7502,6622,895,8,0,0,0,0
01077,Lauderdale County,53117,9368,11871,25121,6085,663,9,0,0,0,0
01079,Lawrence County,25349,2321,2260,13091,6883,792,2,0,0,0,0
01081,Lee County,64225,7901,13573,30209,11057,1453,32,0,0,0,0
01083,Limestone County,53122,10516,12741,27333,2468,64,0,0,0,0,0
01085,Lowndes County,12182,146,411,2273,4618,3818,915,1,0,0,0
01087,Macon County,19625,80,248,4346,8848,5387,681,35,0,0,0
01089,Madison County,166373,42598,71377,50929,1423,46,0,0,0,0,0
01091,Marengo County,21586,1323,2782,4659,6979,5101,727,15,0,0,0
01093,Marion County,25383,787,2581,12442,8621,927,25,0,0,0,0
01095,Marshall County,59680,9588,16444,22627,8963,1960,91,7,0,0,0
01097,Mobile County,207431,45337,20767,59602,42369,24698,8640,3613,1802,421,182
01099,Monroe County,22607,399,960,6912,6180,5898,2002,256,0,0,0
01101,Montgomery County,103409,26567,22991,40538,9883,3273,157,0,0,0,0
01103,Morgan County,62154,11719,10195,30941,8705,591,3,0,0,0,0
01105,Perry County,10185,128,379,2652,4617,2185,222,2,0,0,0
01107,Pickens County,20619,269,1260,7899,9500,1669,22,0,0,0,0
01109,Pike County,21552,207,810,9711,9567,1199,48,10,0,0,0
01111,Randolph County,24949,1269,4726,16906,2033,15,0,0,0,0,0
01113,Russell County,34000,6039,2480,9332,11188,4601,355,5,0,0,0
01115,St. Clair County,54873,313,565,15169,24293,11487,2665,371,10,0,0
01117,Shelby County,100018,3662,9333,51570,26322,7099,1874,156,2,0,0
01119,Sumter County,14752,114,1102,6566,5593,1355,22,0,0,0,0
01121,Talladega County,69482,818,1208,19074,21985,16105,7545,2550,197,0,0
01123,Tallapoosa County,37052,1850,6003,20999,7494,658,40,8,0,0,0
01125,Tuscaloosa County,103992,14525,13732,45676,24862,4980,214,3,0,0,0
01127,Walker County,53106,308,1149,16045,22574,10939,1807,282,2,0,0
01129,Washington County,22080,160,487,6083,8194,4689,1998,455,14,0,0
01131,Wilcox County,14747,51,180,1688,6025,5500,1230,73,0,0,0
01133,Winston County,26198,922,2198,10334,9987,2592,159,6,0,0,0
04001,Apache County,56167,10477,26369,5202,5648,4046,1753,837,1240,418,177
04003,Cochise County,124036,2246,4576,23109,20999,19404,18675,13808,10480,2873,7866
04005,Coconino County,77662,5319,13024,4927,4151,6831,5347,8556,10286,8692,10529
04007,Gila County,32537,86,162,1187,3227,6537,8363,9016,2765,686,508
04009,Graham County,17693,1350,793,3130,3864,6647,1293,390,175,37,14
04011,Greenlee County,4518,878,411,1783,504,714,156,19,37,11,5
04012,La Paz County,15944,3680,2312,4078,2038,1704,1056,1040,36,0,0
04013,Maricopa County,1653695,658120,50362,128796,109889,128557,150528,182987,166544,57636,20276
04015,Mohave County,261083,29925,30888,45794,47143,47828,22375,3014,6264,11141,16711
04017,Navajo County,86436,14088,19273,12103,8174,7228,5994,8983,7422,2426,745
04019,Pima County,432756,62365,8146,27539,22967,29106,45512,64217,95279,17048,60577
04021,Pinal County,240335,16678,10311,34058,43293,57098,38513,32870,7097,339,78
04023,Santa Cruz County,43176,231,709,7351,9845,11072,6180,3532,2657,1007,592
04025,Yavapai County,173695,6070,21027,40436,36313,24394,20155,13481,6411,2478,2930
04027,Yuma County,92277,32366,6093,10454,6937,14867,9486,11126,948,0,0
05001,Arkansas County,15986,9821,4182,1891,91,1,0,0,0,0,0
05003,Ashley County,18738,6006,2830,5461,3527,843,70,1,0,0,0
05005,Baxter County,37282,1050,2604,17445,12724,3052,386,21,0,0,0
05007,Benton County,158451,16267,18162,62030,42459,14812,3524,1063,134,0,0
05009,Boone County,28308,898,1807,11043,8600,4523,1337,100,0,0,0
05011,Bradley County,12516,1533,2443,3804,3536,1133,65,2,0,0,0
05013,Calhoun County,10072,391,1117,5110,2749,638,62,5,0,0,0
05015,Carroll County,25277,847,1599,9977,7510,3820,1319,201,4,0,0
05017,Chicot County,11102,6074,2996,1969,62,1,0,0,0,0,0
05019,Clark County,19880,482,1515,8819,5840,2843,373,8,0,0,0
05021,Clay County,16220,11233,4069,848,68,2,0,0,0,0,0
05023,Cleburne County,30274,1309,3127,12359,7866,4540,1007,61,5,0,0
05025,Cleveland County,6987,113,604,2939,2537,677,95,16,6,0,0
05027,Columbia County,15963,1065,2229,6995,4847,781,46,0,0,0,0
05029,Conway County,18673,786,813,5093,6270,3864,1529,283,33,2,0
05031,Craighead County,52183,22106,16713,10248,2803,313,0,0,0,0,0
05033,Crawford County,35949,533,131,2112,7235,8567,9139,6127,2014,91,0
05035,Crittenden County,23425,18292,5108,21,3,1,0,0,0,0,0
