fips,count_property,count_heatfactor1,count_heatfactor2,count_heatfactor3,count_heatfactor4,count_heatfactor5,count_heatfactor6,count_heatfactor7,count_heatfactor8,count_heatfactor9,count_heatfactor10
1072,1129,0,1005,124,0,0,0,0,0,0,0
1073,3012,0,17,654,2340,1,0,0,0,0,0
1074,109,0,0,58,51,0,0,0,0,0,0
1075,6523,0,2,242,6219,60,0,0,0,0,0
1077,4239,0,1,546,3658,34,0,0,0,0,0
1079,277,0,0,141,136,0,0,0,0,0,0
1080,886,0,0,67,819,0,0,0,0,0,0
1081,1123,0,497,626,0,0,0,0,0,0,0
1082,4944,0,13,2865,2066,0,0,0,0,0,0
1083,1470,0,117,1352,1,0,0,0,0,0,0
1084,197,5,149,43,0,0,0,0,0,0,0
1085,13727,0,351,671,11170,1535,0,0,0,0,0
1088,411,0,7,253,151,0,0,0,0,0,0
1089,9035,0,0,65,7229,1739,2,0,0,0,0
1092,673,0,6,569,98,0,0,0,0,0,0
1093,250,0,18,196,36,0,0,0,0,0,0
1094,162,0,0,145,17,0,0,0,0,0,0
1095,5744,0,1,1308,4427,8,0,0,0,0,0
1096,1439,63,928,448,0,0,0,0,0,0,0
1097,85,0,0,21,64,0,0,0,0,0,0
1098,865,307,551,7,0,0,0,0,0,0,0
1103,348,0,0,0,17,331,0,0,0,0,0
1104,7088,0,0,0,6005,1083,0,0,0,0,0
1105,1929,0,0,0,579,1350,0,0,0,0,0
1106,5889,0,0,0,5841,48,0,0,0,0,0
1107,2043,0,0,0,1119,924,0,0,0,0,0
1108,6178,0,0,0,5142,1036,0,0,0,0,0
1109,8269,0,0,0,6629,1640,0,0,0,0,0
1118,5475,0,0,0,4982,493,0,0,0,0,0
1119,4563,0,0,0,4379,184,0,0,0,0,0
1128,1186,0,0,0,1180,6,0,0,0,0,0
1129,2788,0,0,5,2680,102,1,0,0,0,0
1151,2596,0,0,1,2502,93,0,0,0,0,0
1201,19005,93,13498,5414,0,0,0,0,0,0,0
1220,3807,151,1741,1915,0,0,0,0,0,0,0
1222,484,0,0,461,23,0,0,0,0,0,0
1223,4756,2873,1871,12,0,0,0,0,0,0,0
1224,107,0,107,0,0,0,0,0,0,0,0
1225,1662,253,1153,256,0,0,0,0,0,0,0
1226,2821,230,2254,337,0,0,0,0,0,0,0
1229,74,0,24,50,0,0,0,0,0,0,0
1230,6096,73,2178,3845,0,0,0,0,0,0,0
1235,2260,1796,464,0,0,0,0,0,0,0,0
1236,887,1,243,643,0,0,0,0,0,0,0
1237,1809,551,1254,3,1,0,0,0,0,0,0
1238,3298,206,1432,1660,0,0,0,0,0,0,0
1240,2200,54,2105,41,0,0,0,0,0,0,0
1242,229,0,99,130,0,0,0,0,0,0,0
1243,435,255,157,23,0,0,0,0,0,0,0
1244,126,0,12,114,0,0,0,0,0,0,0
1245,1345,145,1155,45,0,0,0,0,0,0,0
1247,6755,759,2784,3212,0,0,0,0,0,0,0
1253,1063,299,745,19,0,0,0,0,0,0,0
1254,814,88,724,2,0,0,0,0,0,0,0
1255,1312,191,934,187,0,0,0,0,0,0,0
1256,589,589,0,0,0,0,0,0,0,0,0
1257,2086,5,108,1973,0,0,0,0,0,0,0
1258,548,232,101,215,0,0,0,0,0,0,0
1259,804,4,343,456,1,0,0,0,0,0,0
1260,175,0,104,71,0,0,0,0,0,0,0
1262,1067,0,630,437,0,0,0,0,0,0,0
1264,262,34,118,110,0,0,0,0,0,0,0
1266,1518,46,1248,224,0,0,0,0,0,0,0
1267,3065,163,1125,1776,1,0,0,0,0,0,0
1270,807,775,32,0,0,0,0,0,0,0,0
1301,6891,0,198,4964,1729,0,0,0,0,0,0
1330,1144,546,591,7,0,0,0,0,0,0,0
1331,7006,0,1923,4705,378,0,0,0,0,0,0
1337,1836,11,671,1141,13,0,0,0,0,0,0
1338,162,38,66,58,0,0,0,0,0,0,0
1339,1261,403,490,368,0,0,0,0,0,0,0
1340,1676,363,668,644,1,0,0,0,0,0,0
1341,1346,20,610,716,0,0,0,0,0,0,0
1342,1168,0,29,851,288,0,0,0,0,0,0
1343,79,71,7,1,0,0,0,0,0,0,0
1344,797,0,83,674,40,0,0,0,0,0,0
1346,835,786,49,0,0,0,0,0,0,0,0
1347,253,0,0,253,0,0,0,0,0,0,0
1349,739,0,56,616,67,0,0,0,0,0,0
1350,197,148,49,0,0,0,0,0,0,0,0
1351,1473,1,139,1176,157,0,0,0,0,0,0
1354,868,0,21,794,53,0,0,0,0,0,0
1355,835,0,476,358,1,0,0,0,0,0,0
1360,2273,10,349,1845,69,0,0,0,0,0,0
1364,3752,0,264,3283,205,0,0,0,0,0,0
1366,1129,0,665,464,0,0,0,0,0,0,0
1367,777,642,114,21,0,0,0,0,0,0,0
1368,1323,0,1129,194,0,0,0,0,0,0,0
1370,2484,94,957,1433,0,0,0,0,0,0,0
1373,2765,0,7,1238,1519,1,0,0,0,0,0
1375,1494,0,48,513,933,0,0,0,0,0,0
1376,2175,0,0,1601,574,0,0,0,0,0,0
1378,778,2,546,230,0,0,0,0,0,0,0
1379,932,0,784,148,0,0,0,0,0,0,0
1420,12501,0,232,7603,4663,3,0,0,0,0,0
1430,3978,3,3369,606,0,0,0,0,0,0,0
1431,1754,0,594,1160,0,0,0,0,0,0,0
1432,2714,0,0,26,2616,72,0,0,0,0,0
1434,33,0,0,0,33,0,0,0,0,0,0
1436,1363,0,338,1025,0,0,0,0,0,0,0
1438,272,0,229,43,0,0,0,0,0,0,0
1440,6679,0,2422,4255,2,0,0,0,0,0,0
1450,4711,0,0,771,3940,0,0,0,0,0,0
1451,2366,0,0,473,1893,0,0,0,0,0,0
1452,2505,0,1287,1218,0,0,0,0,0,0,0
1453,12743,0,34,5129,7556,24,0,0,0,0,0
1460,4292,0,0,17,4247,28,0,0,0,0,0
1462,4683,0,0,3817,866,0,0,0,0,0,0
1463,4291,0,0,1507,2784,0,0,0,0,0,0
1464,2479,0,0,795,1682,2,0,0,0,0,0
1467,170,0,0,5,165,0,0,0,0,0,0
1468,2257,0,1875,382,0,0,0,0,0,0,0
1469,2836,0,0,1527,1309,0,0,0,0,0,0
1473,3903,0,1262,2638,3,0,0,0,0,0,0
1474,973,0,0,766,207,0,0,0,0,0,0
1475,4934,0,3858,1076,0,0,0,0,0,0,0
1501,6576,0,0,1821,4748,7,0,0,0,0,0
1503,1478,0,0,152,1301,25,0,0,0,0,0
1504,3461,0,0,12,2510,939,0,0,0,0,0
1505,2109,0,0,1093,1016,0,0,0,0,0,0
1506,1560,0,16,1544,0,0,0,0,0,0,0
1507,6364,0,39,6254,71,0,0,0,0,0,0
1510,3995,0,0,13,3620,360,2,0,0,0,0
1515,1384,0,9,1287,88,0,0,0,0,0,0
1516,4396,0,0,2563,1829,4,0,0,0,0,0
1518,1440,0,56,1346,38,0,0,0,0,0,0
1519,2440,0,0,175,2265,0,0,0,0,0,0
1520,6248,0,19,5990,239,0,0,0,0,0,0
1521,2429,0,90,2339,0,0,0,0,0,0,0
1522,1628,0,19,1553,56,0,0,0,0,0,0
1523,2917,0,0,412,2499,6,0,0,0,0,0
1524,3048,0,118,2930,0,0,0,0,0,0,0
1525,86,0,0,3,79,4,0,0,0,0,0
1527,5229,0,0,1059,4163,7,0,0,0,0,0
1529,1284,0,0,61,1223,0,0,0,0,0,0
1531,755,0,90,663,2,0,0,0,0,0,0
1532,5464,0,0,146,5120,194,4,0,0,0,0
1534,2125,0,0,39,1996,90,0,0,0,0,0
1535,2330,0,56,2260,14,0,0,0,0,0,0
1536,2553,0,0,53,2499,1,0,0,0,0,0
1537,953,0,0,839,114,0,0,0,0,0,0
1540,4486,0,0,2399,2087,0,0,0,0,0,0
1541,1919,1,458,1455,5,0,0,0,0,0,0
1542,924,0,0,920,4,0,0,0,0,0,0
1543,4185,0,574,3611,0,0,0,0,0,0,0
1545,11429,0,0,920,10473,36,0,0,0,0,0
1550,5670,0,3,3321,2346,0,0,0,0,0,0
1560,1193,0,0,22,1140,31,0,0,0,0,0
1561,70,0,0,0,67,3,0,0,0,0,0
1562,5193,0,48,5065,80,0,0,0,0,0,0
1564,3716,0,0,2213,1503,0,0,0,0,0,0
1566,3073,0,37,2984,52,0,0,0,0,0,0
1568,3089,0,0,157,2880,52,0,0,0,0,0
1569,5269,0,0,125,4783,361,0,0,0,0,0
1570,6408,0,0,2086,4322,0,0,0,0,0,0
1571,5077,0,0,3231,1846,0,0,0,0,0,0
1581,5371,0,0,108,4898,365,0,0,0,0,0
1583,2796,0,0,1253,1543,0,0,0,0,0,0
1585,2965,0,277,2608,80,0,0,0,0,0,0
1588,3177,0,0,4,2996,177,0,0,0,0,0
1590,4496,0,0,2335,2157,4,0,0,0,0,0
1602,6826,0,0,2403,4422,1,0,0,0,0,0
1603,4869,0,0,998,3858,13,0,0,0,0,0
1604,8911,0,0,124,8750,37,0,0,0,0,0
1605,5024,0,0,1303,3701,20,0,0,0,0,0
1606,6605,0,0,1557,5037,11,0,0,0,0,0
1607,2184,0,0,309,1864,11,0,0,0,0,0
1608,332,0,0,0,283,49,0,0,0,0,0
1609,4058,0,0,1826,2228,4,0,0,0,0,0
1610,3313,0,0,79,3190,44,0,0,0,0,0
1611,1117,0,0,1079,38,0,0,0,0,0,0
1612,1981,0,295,1686,0,0,0,0,0,0,0
1701,11069,0,0,5,2373,8648,43,0,0,0,0
1702,6530,0,0,0,951,5194,385,0,0,0,0
1718,5,0,0,0,5,0,0,0,0,0,0
1719,1746,0,0,2,1716,28,0,0,0,0,0
1720,6892,0,0,0,6079,809,4,0,0,0,0
1721,4933,0,0,0,3644,1283,6,0,0,0,0
1730,4363,0,0,0,721,3615,27,0,0,0,0
1731,7,0,0,0,0,5,2,0,0,0,0
1740,2358,0,0,226,2130,2,0,0,0,0,0
1741,2131,0,0,0,1947,184,0,0,0,0,0
1742,6147,0,0,0,1455,4675,17,0,0,0,0
1745,187,0,0,0,161,26,0,0,0,0,0
1746,5701,0,0,0,4863,838,0,0,0,0,0
1747,2247,0,0,1,2162,84,0,0,0,0,0
1748,5801,0,0,76,5692,33,0,0,0,0,0
1749,5879,0,0,0,3934,1944,1,0,0,0,0
1752,10526,0,0,4,9353,1167,2,0,0,0,0
1754,3486,0,0,0,1139,2341,6,0,0,0,0
1756,2809,0,0,81,2718,10,0,0,0,0,0
1757,8844,0,0,21,7478,1344,1,0,0,0,0
1760,11416,0,0,0,31,11091,293,1,0,0,0
1770,1878,0,0,0,1063,815,0,0,0,0,0
1772,3559,0,0,0,3435,123,1,0,0,0,0
1773,2311,0,0,0,763,1548,0,0,0,0,0
1775,2730,0,0,0,2543,187,0,0,0,0,0
1776,6592,0,0,0,3076,3509,7,0,0,0,0
1778,5130,0,0,0,466,4655,9,0,0,0,0
1801,11351,0,0,0,76,10030,1238,6,1,0,0
1803,7636,0,0,0,70,7380,185,1,0,0,0
1810,11115,0,0,0,6273,4826,15,1,0,0,0
1821,10690,0,0,0,2408,8257,25,0,0,0,0
1824,8703,0,0,0,7469,1226,7,1,0,0,0
1826,9954,0,0,0,9205,749,0,0,0,0,0
1827,1504,0,0,69,1435,0,0,0,0,0,0
1830,7071,0,0,0,3123,3924,24,0,0,0,0
1832,5875,0,0,0,3070,2770,35,0,0,0,0
1833,3123,0,0,0,2386,737,0,0,0,0,0
1834,2478,0,0,0,1753,725,0,0,0,0,0
1835,4062,0,0,0,1281,2777,4,0,0,0,0
1840,681,0,0,0,2,544,135,0,0,0,0
1841,6833,0,0,0,68,6677,88,0,0,0,0
1843,4808,0,0,0,37,4642,129,0,0,0,0
1844,14759,0,0,0,6608,8142,9,0,0,0,0
1845,8299,0,0,0,5255,3042,2,0,0,0,0
1850,3479,0,0,0,941,2537,1,0,0,0,0
1851,5834,0,0,0,731,5101,2,0,0,0,0
1852,7701,0,0,0,2058,5609,34,0,0,0,0
1854,4878,0,0,0,1791,3087,0,0,0,0,0
1860,2236,0,0,0,1942,294,0,0,0,0,0
1862,3538,0,0,0,1735,1798,5,0,0,0,0
1863,2465,0,0,0,2244,221,0,0,0,0,0
1864,5382,0,0,0,1443,3916,23,0,0,0,0
1867,7816,0,0,0,11,7561,243,1,0,0,0
1876,9333,0,0,0,3171,6156,5,1,0,0,0
1879,4105,0,0,171,3909,25,0,0,0,0,0
1880,8504,0,0,0,32,7963,507,2,0,0,0
1886,8043,0,0,44,7964,35,0,0,0,0,0
1887,8999,0,0,0,107,8769,118,5,0,0,0
1890,6859,0,0,0,376,5719,763,1,0,0,0
1901,216,0,0,0,0,4,188,24,0,0,0
1902,7870,0,0,0,1,377,7482,10,0,0,0
1904,6091,0,0,0,2,3110,2975,4,0,0,0
1905,5163,0,0,0,1,878,4274,10,0,0,0
1906,9713,0,0,0,7,6990,2714,2,0,0,0
1907,4658,0,0,0,0,2222,2435,1,0,0,0
1908,1399,0,0,0,0,1273,126,0,0,0,0
1913,5270,0,0,0,2716,2525,29,0,0,0,0
1915,11639,0,0,0,1,5867,5761,10,0,0,0
1921,3186,0,0,0,2562,623,1,0,0,0,0
1922,1180,0,0,0,484,696,0,0,0,0,0
1923,8002,0,0,0,3,4538,3452,8,1,0,0
1929,2149,0,0,0,1,2045,103,0,0,0,0
1930,13024,0,0,0,1,7641,5238,144,0,0,0
1937,1,0,0,0,0,1,0,0,0,0,0
1938,5375,0,0,0,315,4923,137,0,0,0,0
1940,4483,0,0,0,170,4291,22,0,0,0,0
1944,2368,0,0,0,4,1906,458,0,0,0,0
1945,7985,0,0,0,0,3324,4661,0,0,0,0
1949,2947,0,0,0,807,2111,29,0,0,0,0
1950,6496,0,0,0,178,5989,329,0,0,0,0
1951,2277,0,0,0,49,1861,367,0,0,0,0
1952,4331,0,0,0,810,3153,368,0,0,0,0
1960,14338,0,0,0,23,9061,5124,130,0,0,0
1966,4005,0,0,0,0,2938,1067,0,0,0,0
1969,2650,0,0,0,512,2135,3,0,0,0,0
1970,9589,0,0,0,0,1305,8112,172,0,0,0
1982,2800,0,0,0,3,2724,73,0,0,0,0
1983,2334,0,0,0,129,2188,17,0,0,0,0
