fips,name,count_property,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
01,Alabama,3013150,2507914,16182,36155,24932,40495,65119,63520,92919,119966,45948
02,Alaska,354927,283980,2991,5432,5893,6643,12716,9280,9993,11729,6270
05,Arkansas,1915562,1649336,7834,24096,16753,23506,38319,31823,44285,57412,22198
04,Arizona,3224890,2750973,72990,106751,55725,62302,63973,39564,35430,28492,8690
06,California,11336564,8658125,210676,406648,320198,420758,593867,259966,209268,166898,90160
08,Colorado,2490924,2257934,7660,37604,25191,23581,47089,23032,24524,28835,15474
09,Connecticut,1151982,973143,6233,14991,16811,17052,33164,19926,23644,30464,16554
11,District of Columbia,136044,121928,615,1799,1586,1470,4008,1940,1372,1047,279
10,Delaware,422973,357265,3314,6821,4299,6127,10390,6501,6455,8212,13589
12,Florida,8974504,5726338,210110,369899,252752,352487,627066,420214,403064,457371,155203
13,Georgia,4412194,3891097,21378,43764,31873,48099,81325,70966,94408,97548,31736
15,Hawaii,380830,257443,1016,9078,10671,8668,14581,14203,24806,30602,9762
19,Iowa,2426587,2013706,6188,39587,32938,33456,73307,46748,68435,83100,29122
16,Idaho,1036533,778850,19351,32363,32226,31226,47751,23375,25149,28616,17626
17,Illinois,5241797,4407682,34889,132848,83737,91590,190649,90588,97228,86817,25769
18,Indiana,3511729,3036677,20576,63079,43175,51090,96068,48687,57299,66013,29065
20,Kansas,1633419,1428428,6883,29842,21517,21041,42819,21590,26352,27213,7734
21,Kentucky,2028439,1712007,7501,22859,18063,20854,42050,29418,41601,72125,61961
22,Louisiana,2365126,1233376,35530,77660,65598,82245,147108,115787,336013,214603,57206
25,Massachusetts,2181953,1818455,12783,34981,39945,35007,77137,44407,40109,47117,32012
24,Maryland,2192293,1985715,7539,19068,13705,17058,34753,22125,26855,39825,25650
23,Maine,687353,591163,3732,7433,7534,7325,13213,9176,13147,20763,13867
26,Michigan,4635190,4056198,31028,99271,67866,70111,125111,56724,58075,53749,17057
27,Minnesota,2964239,2556042,12178,57254,40911,42944,84688,50226,53642,49857,16497
29,Missouri,3186489,2816101,5890,28289,23558,26676,61002,42755,58272,87668,36278
28,Mississippi,1903809,1500209,14220,31166,23016,30322,55004,50920,69478,90755,38719
30,Montana,892654,693402,9200,20192,22040,20936,38081,20630,23435,29932,14806
37,North Carolina,5450548,4663347,24075,61783,46415,58736,116197,88835,119231,161622,110307
38,North Dakota,678749,574791,4940,15473,10571,12948,17823,12392,13496,12986,3329
31,Nebraska,1137662,976911,7027,23299,17096,16545,33983,17111,19295,20450,5945
33,New Hampshire,580542,486501,2565,6835,7364,6805,13760,9155,13750,22490,11317
34,New Jersey,3449077,2835428,29745,59020,44035,54283,106283,61258,62219,99483,97323
35,New Mexico,1495095,1226300,20570,42545,32397,54808,44951,25066,22187,18495,7776
32,Nevada,1208954,1019877,14294,48704,30766,25286,41452,12800,9793,4955,1027
36,New York,5374536,4407940,37769,108076,111049,93433,187237,101144,108067,140743,79078
39,Ohio,6056610,5320378,32064,82018,54252,70415,129147,75634,91901,127696,73105
40,Oklahoma,2215544,1964395,6100,27937,20838,23875,46471,29864,39868,41768,14428
41,Oregon,1804234,1371750,15439,44323,48440,41454,85696,50540,50823,59277,36492
42,Pennsylvania,5721836,4928328,19438,58282,48792,53820,129323,89589,107507,167244,119513
72,Puerto Rico,1270463,1007512,4211,26001,29754,27417,51578,31191,37499,36345,18955
44,Rhode Island,383719,334325,2168,5713,5553,4706,10304,5020,4902,6133,4895
45,South Carolina,2615777,2158690,23408,43505,27467,43914,73516,74012,72433,62220,36612
46,South Dakota,666245,570721,1795,10955,7961,8452,16333,11831,14956,17207,6034
47,Tennessee,3244647,2772223,12722,37185,29437,36706,66303,52445,74461,107962,55203
48,Texas,11957156,9747472,135687,305690,294242,259878,408180,221779,271442,208524,104262
49,Utah,1362748,1135505,15385,46404,30522,29806,46291,20203,17967,15140,5525
51,Virginia,3794884,3271564,26780,55891,35338,44574,70035,48478,63297,103244,75683
50,Vermont,312127,255533,754,3099,3698,3330,6691,4786,7981,15957,10298
53,Washington,3025340,2465659,16574,48746,54961,53576,108071,63444,65659,84356,64294
55,Wisconsin,3378115,2885384,17454,59408,41133,49575,90587,58278,68369,80288,27639
54,West Virginia,1427312,944757,5115,14523,15917,20749,35235,31645,48664,129025,181682
56,Wyoming,339101,274008,3142,7527,8471,8667,14805,7161,6732,6543,2045
