fips,name,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
01001,"Autauga County, AL",30110,0,0,0,0,0,28796,100,1214,0,0
01003,"Baldwin County, AL",141270,0,0,0,0,0,0,0,13451,119683,8136
01005,"Barbour County, AL",23235,0,0,0,0,0,1871,92,21257,15,0
01007,"Bibb County, AL",14966,0,0,0,0,0,14954,3,9,0,0
01009,"Blount County, AL",43109,0,0,0,36693,3733,2683,0,0,0,0
01011,"Bullock County, AL",9508,0,0,0,0,0,5174,518,3816,0,0
01013,"Butler County, AL",18902,0,0,0,0,0,0,0,18902,0,0
01015,"Calhoun County, AL",73063,0,0,0,54869,11443,6751,0,0,0,0
01017,"Chambers County, AL",24203,0,0,0,0,0,24185,1,17,0,0
01019,"Cherokee County, AL",32484,0,0,399,29477,1611,997,0,0,0,0
01021,"Chilton County, AL",29550,0,0,0,0,0,29231,94,225,0,0
01023,"Choctaw County, AL",20331,0,0,0,0,0,3624,694,16013,0,0
01025,"Clarke County, AL",28295,0,0,0,0,0,0,0,28294,1,0
01027,"Clay County, AL",14534,0,0,0,2120,1204,11210,0,0,0,0
01029,"Cleburne County, AL",14638,0,0,0,12606,524,1508,0,0,0,0
01031,"Coffee County, AL",34238,0,0,0,0,0,0,0,33205,1033,0
01033,"Colbert County, AL",41214,0,0,0,38259,2058,897,0,0,0,0
01035,"Conecuh County, AL",16022,0,0,0,0,0,0,0,15980,42,0
01037,"Coosa County, AL",14244,0,0,0,0,0,14114,0,130,0,0
01039,"Covington County, AL",30882,0,0,0,0,0,0,0,29564,1318,0
01041,"Crenshaw County, AL",14893,0,0,0,0,0,38,0,14854,1,0
01043,"Cullman County, AL",54996,0,0,0,44686,4763,5547,0,0,0,0
01045,"Dale County, AL",29526,0,0,0,0,0,0,0,29162,364,0
01047,"Dallas County, AL",31323,0,0,0,0,0,25095,715,5513,0,0
01049,"DeKalb County, AL",48987,0,0,1467,46183,1213,124,0,0,0,0
01051,"Elmore County, AL",49173,0,0,0,0,0,47805,26,1342,0,0
01053,"Escambia County, AL",29817,0,0,0,0,0,0,0,24886,4931,0
01055,"Etowah County, AL",74030,0,0,0,70590,2075,1365,0,0,0,0
01057,"Fayette County, AL",19171,0,0,0,2724,6966,9481,0,0,0,0
01059,"Franklin County, AL",22545,0,0,0,19243,2085,1217,0,0,0,0
01061,"Geneva County, AL",22796,0,0,0,0,0,0,0,19889,2907,0
01063,"Greene County, AL",10638,0,0,0,0,0,10329,4,305,0,0
01065,"Hale County, AL",15457,0,0,0,0,0,14024,65,1368,0,0
01067,"Henry County, AL",19265,0,0,0,0,0,0,0,19126,139,0
01069,"Houston County, AL",58618,0,0,0,0,0,0,0,56308,2310,0
01071,"Jackson County, AL",43514,0,0,5928,37213,241,132,0,0,0,0
01073,"Jefferson County, AL",318827,0,0,0,57047,26314,235466,0,0,0,0
01075,"Lamar County, AL",16319,0,0,0,1260,5977,9082,0,0,0,0
01077,"Lauderdale County, AL",51866,0,0,0,49076,2214,576,0,0,0,0
01079,"Lawrence County, AL",24025,0,0,0,19510,2788,1727,0,0,0,0
01081,"Lee County, AL",64435,0,0,0,0,0,63978,87,370,0,0
01083,"Limestone County, AL",51935,0,0,0,49793,1625,517,0,0,0,0
01085,"Lowndes County, AL",12045,0,0,0,0,0,3349,518,8178,0,0
01087,"Macon County, AL",19625,0,0,0,0,0,19084,170,371,0,0
01089,"Madison County, AL",166373,0,0,865,163914,1527,67,0,0,0,0
01091,"Marengo County, AL",21586,0,0,0,0,0,10562,1982,9042,0,0
01093,"Marion County, AL",25381,0,0,0,13821,7183,4377,0,0,0,0
01095,"Marshall County, AL",58316,0,0,0,54945,2571,800,0,0,0,0
01097,"Mobile County, AL",207430,0,0,0,0,0,0,0,31164,173747,2519
01099,"Monroe County, AL",22733,0,0,0,0,0,0,0,22178,555,0
01101,"Montgomery County, AL",103409,0,0,0,0,0,92593,545,10271,0,0
01103,"Morgan County, AL",60210,0,0,0,58265,1228,717,0,0,0,0
01105,"Perry County, AL",10185,0,0,0,0,0,9143,24,1018,0,0
01107,"Pickens County, AL",20510,0,0,0,0,286,20108,0,116,0,0
01109,"Pike County, AL",22096,0,0,0,0,0,173,68,21855,0,0
01111,"Randolph County, AL",24676,0,0,0,3003,2213,19460,0,0,0,0
