fips,count_property,count_floodfactor1,count_floodfactor2,count_floodfactor3,count_floodfactor4,count_floodfactor5,count_floodfactor6,count_floodfactor7,count_floodfactor8,count_floodfactor9,count_floodfactor10
00601,6787,5385,0,24,81,64,107,89,148,406,481
00602,16675,14627,0,193,288,186,375,287,275,328,116
00603,22735,20098,0,242,314,314,583,425,402,294,63
00606,2555,2144,0,3,8,13,36,36,38,96,181
00610,10725,8987,0,99,364,468,234,138,145,158,132
00611,828,756,0,2,4,6,6,7,8,16,23
00612,28503,24465,1,194,511,671,682,758,535,463,215
00616,3918,3454,0,39,56,59,86,62,67,68,27
00617,9840,7790,5,151,376,253,230,206,244,357,228
00622,8189,7296,10,137,111,86,154,136,147,101,11
00623,19850,17385,22,248,380,242,435,290,389,373,86
00624,9368,6963,0,100,243,171,380,219,344,661,287
00627,14504,12848,1,102,268,199,274,221,203,280,107
00631,574,473,0,3,5,12,10,7,8,26,30
00636,319,284,0,1,1,1,6,3,7,11,5
00637,10397,9050,0,98,230,122,220,125,179,227,146
00638,7962,7142,0,13,42,124,88,81,76,157,238
00641,11352,8904,1,34,229,290,285,451,361,347,447
00646,13728,11885,0,125,295,216,371,208,227,321,80
00647,3128,2567,0,49,59,81,92,86,72,91,31
00650,6035,4293,1,51,138,133,279,189,235,398,318
00652,1630,1451,4,17,20,12,35,32,31,26,2
00653,5186,4165,1,117,227,115,132,111,173,123,22
00656,7567,5508,13,91,272,180,354,178,333,389,247
00659,14698,13588,1,81,123,89,212,155,186,201,62
00660,6832,5255,6,68,350,204,169,170,212,299,99
00662,21409,19381,0,193,330,300,409,264,270,206,55
00664,5381,3956,1,44,130,77,153,79,145,364,430
00667,11967,10305,9,169,184,161,193,210,321,321,94
00669,11742,10289,1,29,84,140,209,160,200,352,278
00670,4183,3822,0,6,20,31,31,24,30,69,148
00674,16441,13658,0,141,277,316,533,419,472,504,121
00676,15491,14054,3,45,118,156,192,195,230,347,151
00677,7458,6575,2,68,93,125,179,144,122,91,59
00678,11874,10641,0,82,216,157,174,150,149,223,81
00680,20688,16762,0,215,684,347,842,414,537,622,265
00682,11141,7541,41,329,1004,662,899,199,263,156,47
00683,13782,11540,1,118,284,169,341,231,326,464,308
00685,21555,19682,0,60,161,196,257,233,273,471,221
00687,9396,8273,0,36,88,181,195,146,175,213,89
00688,4651,3477,0,57,104,128,176,172,201,238,98
00690,2566,2246,0,26,49,40,101,64,24,12,4
00692,11654,9980,0,100,183,188,315,186,201,324,175
00693,22431,19657,16,280,362,257,510,349,394,393,210
00694,131,119,0,0,4,0,8,0,0,0,0
00698,15346,13760,0,73,158,121,238,168,218,334,276
00703,9258,8516,0,9,31,48,68,71,89,186,239
00704,4176,2791,9,211,138,181,289,283,240,33,1
00705,10035,8892,0,50,108,85,144,120,166,329,141
00707,5172,4498,0,31,66,48,74,69,91,131,163
00714,8342,6628,23,248,222,177,255,160,249,290,89
00715,1201,871,0,54,64,25,69,39,65,14,0
00716,10446,6278,53,370,1057,241,1219,310,655,243,5
00717,5661,2635,8,196,719,217,951,273,408,254,0
00718,11131,9358,0,218,141,169,244,248,289,344,120
00719,8432,7550,1,10,36,57,83,72,115,262,246
00720,7561,6780,0,9,41,52,81,62,89,191,256
00723,8247,6935,2,59,117,85,134,123,191,310,291
00725,28891,25069,12,405,943,352,615,294,378,484,321
00727,18983,17539,1,114,192,135,224,141,201,283,151
00728,14228,10353,2,310,783,274,1062,430,433,395,186
00729,17642,15174,0,172,482,341,373,238,311,354,197
00730,13826,11411,1,321,486,189,579,220,276,310,33
00731,5007,4028,0,25,97,46,107,74,84,215,329
00735,5897,5089,0,118,87,84,134,112,105,124,44
00736,19628,16719,0,207,310,217,340,298,426,660,451
00738,14855,12682,2,213,313,177,484,242,328,360,54
00739,12776,11711,0,29,72,92,173,102,136,287,174
00740,759,583,0,24,35,14,23,26,36,15,3
00741,2079,1459,0,70,379,80,45,22,22,2,0
00745,19523,17239,1,172,293,156,278,233,362,561,228
00751,10146,6658,27,418,610,288,824,313,518,339,150
00754,14632,12181,0,66,168,209,239,215,308,594,652
00757,9119,7175,3,298,429,210,446,226,199,110,23
00765,5798,5213,0,44,42,51,64,72,89,147,76
00766,6675,5648,0,23,79,62,135,81,148,268,231
00767,13230,10770,0,185,302,244,385,356,324,367,296
00769,16215,14808,0,54,183,127,142,127,138,305,331
00771,14452,12878,0,84,141,147,198,160,261,350,233
00772,5223,3343,20,187,768,360,258,127,117,39,4
00773,8254,7299,2,63,97,64,120,104,168,221,116
00775,1359,1156,1,7,4,16,13,23,30,66,43
00777,15804,13761,0,157,313,192,334,242,276,348,181
00778,15873,13909,0,139,216,344,306,220,275,319,145
00780,5763,4533,0,91,316,77,246,115,94,159,132
00782,5104,4149,2,22,75,69,165,128,147,189,158
00783,11258,10406,0,16,54,59,106,69,110,236,200
00784,19050,15923,20,328,327,293,476,322,534,600,227
00786,118,104,0,1,0,0,2,0,0,4,7
00791,20466,17497,3,286,469,320,495,396,426,360,214
00794,8392,7607,0,14,27,30,85,56,113,258,202
00795,17606,14112,2,338,792,311,680,340,379,433,219
00901,1527,1461,7,12,7,13,4,1,4,4,14
00906,8,8,0,0,0,0,0,0,0,0,0
00907,3336,2889,5,43,63,35,147,69,67,18,0
00909,1349,1107,0,7,13,16,74,63,47,22,0
00911,2004,1445,8,60,27,53,115,71,101,115,9
00912,1956,1835,0,17,7,9,56,12,20,0,0
00913,536,228,13,70,48,78,67,24,6,2,0
00915,7327,5174,100,348,243,308,509,192,289,159,5
00917,5038,3927,40,249,153,156,246,95,114,55,3
00918,3232,3025,0,37,24,22,45,26,39,12,2
00920,6362,5437,0,98,214,46,183,111,184,87,2
00921,8689,8023,0,157,218,68,142,29,36,12,4
00923,5534,4932,3,148,132,74,119,72,37,14,3
00924,12116,11308,0,145,102,92,192,77,110,82,8
00925,1538,1460,0,1,11,14,24,9,8,11,0
00926,28109,26547,0,101,228,158,259,180,240,242,154
00927,3963,3429,16,65,74,56,130,67,72,46,5
00934,61,59,0,0,1,1,0,0,0,0,0
00949,24632,14507,16,850,4317,3342,560,302,352,309,77
00950,19,4,0,1,6,5,0,1,1,1,0
00951,197,4,0,1,96,90,1,2,2,1,0
00952,2729,2058,0,51,180,89,165,72,61,44,9
00953,23630,22286,2,67,124,151,213,167,227,288,105
00956,27330,25304,0,133,187,189,342,262,291,373,249
00957,13384,12596,0,76,159,92,186,102,93,68,12
00959,16072,14472,0,257,365,191,408,163,142,59,15
00960,85,65,0,3,6,2,2,4,3,0,0
00961,9476,7612,0,236,851,247,223,108,118,71,10
00962,6460,4523,71,283,334,247,378,150,220,244,10
00965,2205,1535,47,167,42,110,177,70,44,13,0
00966,4134,3865,0,36,31,26,83,46,21,24,2
00968,696,669,0,5,1,3,10,5,3,0,0
00969,11141,10542,0,73,104,75,125,71,60,59,32
00971,7292,6265,0,20,57,117,142,126,122,265,178
00976,15662,14579,0,36,99,88,167,137,151,245,160
00979,3017,2777,9,58,16,30,66,28,30,3,0
00982,4980,3882,0,209,255,100,483,48,1,2,0
