Summary Column Header	Description
count_property	number of properties
count_windfactor1	number of properties with a risk score = 1
count_windfactor2	number of properties with a risk score = 2
count_windfactor3	number of properties with a risk score = 3
count_windfactor4	number of properties with a risk score = 4
count_windfactor5	number of properties with a risk score = 5
count_windfactor6	number of properties with a risk score = 6
count_windfactor7	number of properties with a risk score = 7
count_windfactor8	number of properties with a risk score = 8
count_windfactor9	number of properties with a risk score = 9
count_windfactor10	number of properties with a risk score = 10
