fips,name,count_property,count_windfactor1,count_windfactor2,count_windfactor3,count_windfactor4,count_windfactor5,count_windfactor6,count_windfactor7,count_windfactor8,count_windfactor9,count_windfactor10
01,Alabama,3019300,0,0,8659,974536,123496,1089678,6966,498212,307098,10655
05,Arkansas,1923556,0,883937,502498,401354,18180,117408,55,124,0,0
04,Arizona,3225763,3225763,0,0,0,0,0,0,0,0,0
06,California,11341383,11341383,0,0,0,0,0,0,0,0,0
08,Colorado,2491610,859834,1631776,0,0,0,0,0,0,0,0
09,Connecticut,1152158,0,0,428,151614,92500,849640,5455,52521,0,0
11,District of Columbia,136539,0,0,0,136501,29,9,0,0,0,0
10,Delaware,423020,0,0,0,0,6324,296580,10639,109477,0,0
12,Florida,8975279,0,0,0,0,0,0,0,251678,5000296,3723305
13,Georgia,4413839,0,279254,255231,1964769,142485,848837,22130,781299,119446,388
19,Iowa,2426996,0,2426996,0,0,0,0,0,0,0,0
16,Idaho,1036925,1036925,0,0,0,0,0,0,0,0,0
17,Illinois,5242398,0,5219546,22562,290,0,0,0,0,0,0
18,Indiana,3512391,0,3502479,9906,6,0,0,0,0,0,0
20,Kansas,1633521,0,1632160,1359,2,0,0,0,0,0,0
21,Kentucky,1996344,0,1699386,262116,34842,0,0,0,0,0,0
22,Louisiana,2365196,0,0,0,0,0,463622,13117,562273,1268316,57868
25,Massachusetts,2182311,0,1245,53548,305850,111735,1346085,9367,354131,350,0
24,Maryland,2192534,0,141693,139379,1003126,129239,694261,15734,69102,0,0
23,Maine,687486,1,52820,129034,170654,19895,296169,5144,13769,0,0
26,Michigan,4635750,1755500,2880250,0,0,0,0,0,0,0,0
27,Minnesota,2964708,877721,2086987,0,0,0,0,0,0,0,0
29,Missouri,3191502,0,3105844,54148,31510,0,0,0,0,0,0
28,Mississippi,1904494,0,0,34,345602,46314,668888,65046,521874,253909,2827
30,Montana,894052,826951,67101,0,0,0,0,0,0,0,0
37,North Carolina,5451278,0,1205607,305551,971239,363414,1436202,86319,884510,198436,0
38,North Dakota,679023,338621,340402,0,0,0,0,0,0,0,0
31,Nebraska,1138191,5112,1133079,0,0,0,0,0,0,0,0
33,New Hampshire,580665,0,120909,113651,271712,21227,52040,19,1107,0,0
34,New Jersey,3449541,0,1304,13611,562032,318225,2079931,62352,412086,0,0
35,New Mexico,1495392,1283837,211555,0,0,0,0,0,0,0,0
32,Nevada,1209308,1209308,0,0,0,0,0,0,0,0,0
36,New York,5376613,1814485,963738,262814,436365,82312,1629905,10967,176027,0,0
39,Ohio,6061957,2241495,3820459,3,0,0,0,0,0,0,0
40,Oklahoma,2205733,0,1717462,362872,122767,1565,1067,0,0,0,0
41,Oregon,1807336,1807336,0,0,0,0,0,0,0,0,0
42,Pennsylvania,5726734,499486,2655908,392594,935106,131635,1112005,0,0,0,0
44,Rhode Island,383802,0,0,0,0,0,274007,10254,99541,0,0
45,South Carolina,2616091,0,620505,46818,107143,107019,742269,54210,776066,161996,65
46,South Dakota,666388,0,666388,0,0,0,0,0,0,0,0
47,Tennessee,3278739,0,1155572,1131452,990318,1185,212,0,0,0,0
48,Texas,11957707,446815,721634,185576,2195137,249513,3455087,44566,3213277,1404210,41892
49,Utah,1363463,1363463,0,0,0,0,0,0,0,0,0
51,Virginia,3795418,0,1334063,331124,826087,295265,363532,33902,611292,153,0
50,Vermont,312308,6123,277473,26659,2053,0,0,0,0,0,0
53,Washington,3031769,3031769,0,0,0,0,0,0,0,0,0
55,Wisconsin,3379146,1114431,2264715,0,0,0,0,0,0,0,0
54,West Virginia,1432244,537227,894148,869,0,0,0,0,0,0,0
56,Wyoming,339209,283837,55372,0,0,0,0,0,0,0,0
