fips,count_property,count_firefactor1,count_firefactor2,count_firefactor3,count_firefactor4,count_firefactor5,count_firefactor6,count_firefactor7,count_firefactor8,count_firefactor9,count_firefactor10
01077,4189,993,1577,1576,43,0,0,0,0,0,0
01079,294,0,57,235,2,0,0,0,0,0,0
01080,871,1,170,695,5,0,0,0,0,0,0
01081,1109,326,473,302,8,0,0,0,0,0,0
01082,4979,787,1886,2242,64,0,0,0,0,0,0
01083,1336,597,729,10,0,0,0,0,0,0,0
01084,191,149,42,0,0,0,0,0,0,0,0
01085,13692,3672,5565,4415,40,0,0,0,0,0,0
01088,416,112,145,159,0,0,0,0,0,0,0
01089,9034,1725,2243,4867,199,0,0,0,0,0,0
01092,688,372,312,4,0,0,0,0,0,0,0
01093,197,123,64,10,0,0,0,0,0,0,0
01094,40,21,19,0,0,0,0,0,0,0,0
01095,5699,548,979,3526,617,29,0,0,0,0,0
01096,1778,983,762,33,0,0,0,0,0,0,0
01097,75,33,39,3,0,0,0,0,0,0,0
01098,886,674,212,0,0,0,0,0,0,0,0
01103,334,311,12,11,0,0,0,0,0,0,0
01104,7053,6044,509,471,29,0,0,0,0,0,0
01105,1878,1128,141,583,26,0,0,0,0,0,0
01106,5875,2888,2580,404,3,0,0,0,0,0,0
01107,2051,1535,282,231,3,0,0,0,0,0,0
01108,6227,290,397,4052,1488,0,0,0,0,0,0
01109,8255,7332,603,314,6,0,0,0,0,0,0
01118,5467,3777,937,735,18,0,0,0,0,0,0
01119,4577,2150,1008,1395,24,0,0,0,0,0,0
01128,1191,6,127,808,223,27,0,0,0,0,0
01129,2786,58,318,1802,562,46,0,0,0,0,0
01144,5,5,0,0,0,0,0,0,0,0,0
01151,2593,785,447,1353,8,0,0,0,0,0,0
01201,19042,10270,7701,1058,13,0,0,0,0,0,0
01220,3700,2169,1516,15,0,0,0,0,0,0,0
01222,540,101,317,122,0,0,0,0,0,0,0
01223,4765,1964,2742,59,0,0,0,0,0,0,0
01224,131,75,53,3,0,0,0,0,0,0,0
01225,1769,1080,674,15,0,0,0,0,0,0,0
01226,2689,1491,1175,23,0,0,0,0,0,0,0
01229,172,120,52,0,0,0,0,0,0,0,0
01230,6448,2368,3869,211,0,0,0,0,0,0,0
01235,2333,1694,637,2,0,0,0,0,0,0,0
01236,950,337,576,37,0,0,0,0,0,0,0
01237,1652,682,940,30,0,0,0,0,0,0,0
01238,3038,2207,821,10,0,0,0,0,0,0,0
01240,2163,726,1300,137,0,0,0,0,0,0,0
01242,213,153,60,0,0,0,0,0,0,0,0
01243,300,186,114,0,0,0,0,0,0,0,0
01244,314,123,186,5,0,0,0,0,0,0,0
01245,1144,559,580,5,0,0,0,0,0,0,0
01247,6607,3502,2999,106,0,0,0,0,0,0,0
01253,1194,582,609,3,0,0,0,0,0,0,0
01254,798,186,567,45,0,0,0,0,0,0,0
01255,1245,426,808,11,0,0,0,0,0,0,0
01256,589,317,272,0,0,0,0,0,0,0,0
01257,1970,824,995,151,0,0,0,0,0,0,0
01258,292,32,235,25,0,0,0,0,0,0,0
01259,743,210,482,51,0,0,0,0,0,0,0
01260,148,105,43,0,0,0,0,0,0,0,0
01262,1644,786,825,33,0,0,0,0,0,0,0
01264,343,174,169,0,0,0,0,0,0,0,0
01266,1095,407,671,17,0,0,0,0,0,0,0
01267,3150,2084,1061,5,0,0,0,0,0,0,0
01270,712,431,281,0,0,0,0,0,0,0,0
01301,6876,4516,2342,18,0,0,0,0,0,0,0
01330,1168,785,383,0,0,0,0,0,0,0,0
01331,7002,4187,2688,127,0,0,0,0,0,0,0
01337,1851,911,920,20,0,0,0,0,0,0,0
01338,95,76,19,0,0,0,0,0,0,0,0
01339,1390,845,545,0,0,0,0,0,0,0,0
01340,1899,1000,895,4,0,0,0,0,0,0,0
01341,1244,784,460,0,0,0,0,0,0,0,0
01342,1193,784,345,64,0,0,0,0,0,0,0
01343,225,84,141,0,0,0,0,0,0,0,0
01344,946,561,358,27,0,0,0,0,0,0,0
01346,605,168,434,3,0,0,0,0,0,0,0
01347,257,129,128,0,0,0,0,0,0,0,0
01349,601,382,204,15,0,0,0,0,0,0,0
01350,193,102,91,0,0,0,0,0,0,0,0
01351,1446,622,553,268,3,0,0,0,0,0,0
01354,868,447,382,39,0,0,0,0,0,0,0
01355,802,371,379,52,0,0,0,0,0,0,0
01360,2281,1103,1155,23,0,0,0,0,0,0,0
01364,3710,2294,1389,27,0,0,0,0,0,0,0
01366,1076,602,473,1,0,0,0,0,0,0,0
01367,716,370,346,0,0,0,0,0,0,0,0
01368,1341,671,667,3,0,0,0,0,0,0,0
01370,2435,1495,927,13,0,0,0,0,0,0,0
01373,2728,1831,804,93,0,0,0,0,0,0,0
01375,1488,702,505,281,0,0,0,0,0,0,0
01376,2222,1834,388,0,0,0,0,0,0,0,0
01378,788,401,387,0,0,0,0,0,0,0,0
01379,757,383,374,0,0,0,0,0,0,0,0
01380,148,93,55,0,0,0,0,0,0,0,0
01420,12472,4421,5976,2053,22,0,0,0,0,0,0
01430,3948,2137,1789,22,0,0,0,0,0,0,0
01431,1750,906,836,8,0,0,0,0,0,0,0
01432,2738,1148,962,609,19,0,0,0,0,0,0
01434,31,12,13,6,0,0,0,0,0,0,0
01436,2,1,1,0,0,0,0,0,0,0,0
01438,,0,0,0,0,0,0,0,0,0,0
01440,6656,3721,2056,875,4,0,0,0,0,0,0
01450,4707,872,1352,2407,76,0,0,0,0,0,0
01451,2535,224,619,1601,91,0,0,0,0,0,0
01452,2504,1033,1390,81,0,0,0,0,0,0,0
01453,12641,7565,4409,666,1,0,0,0,0,0,0
01460,4372,2969,1230,173,0,0,0,0,0,0,0
01462,4714,1869,1716,1126,3,0,0,0,0,0,0
01463,4319,777,1585,1949,8,0,0,0,0,0,0
01464,2489,890,814,764,21,0,0,0,0,0,0
01468,1,0,1,0,0,0,0,0,0,0,0
01469,2854,541,1108,1090,115,0,0,0,0,0,0
01473,3903,1935,1847,121,0,0,0,0,0,0,0
01474,948,92,249,581,26,0,0,0,0,0,0
01475,4930,2620,2226,84,0,0,0,0,0,0,0
01501,6541,4299,2199,43,0,0,0,0,0,0,0
01503,1478,73,212,974,215,4,0,0,0,0,0
01504,3463,919,1870,666,8,0,0,0,0,0,0
01505,2109,608,690,802,9,0,0,0,0,0,0
01506,1560,725,804,31,0,0,0,0,0,0,0
01507,6365,2870,3215,280,0,0,0,0,0,0,0
01510,3995,805,1385,1734,71,0,0,0,0,0,0
01515,1384,653,687,44,0,0,0,0,0,0,0
01516,4370,413,1487,2145,238,83,4,0,0,0,0
01518,1454,773,673,8,0,0,0,0,0,0,0
01519,2383,1048,982,345,8,0,0,0,0,0,0
01520,6273,3940,2134,195,4,0,0,0,0,0,0
01521,2360,1392,886,82,0,0,0,0,0,0,0
01522,1603,680,752,171,0,0,0,0,0,0,0
01523,3078,1026,894,1123,35,0,0,0,0,0,0
01524,3009,1609,1346,54,0,0,0,0,0,0,0
01525,21,1,15,5,0,0,0,0,0,0,0
01527,5217,3089,2023,105,0,0,0,0,0,0,0
01529,1283,203,595,485,0,0,0,0,0,0,0
01531,755,301,438,16,0,0,0,0,0,0,0
01532,5472,3798,1453,219,2,0,0,0,0,0,0
01534,2230,327,655,1112,135,1,0,0,0,0,0
01535,2330,1306,1014,10,0,0,0,0,0,0,0
01536,2611,1475,877,259,0,0,0,0,0,0,0
01537,920,365,503,52,0,0,0,0,0,0,0
01540,4508,2403,1806,298,1,0,0,0,0,0,0
01541,1919,736,1055,128,0,0,0,0,0,0,0
01542,948,377,555,16,0,0,0,0,0,0,0
01543,4185,2239,1850,96,0,0,0,0,0,0,0
01545,11438,9643,1636,159,0,0,0,0,0,0,0
01550,5668,1709,3595,364,0,0,0,0,0,0,0
01560,1192,220,404,547,21,0,0,0,0,0,0
01561,19,7,12,0,0,0,0,0,0,0,0
01562,5193,2819,2328,46,0,0,0,0,0,0,0
01564,3716,1480,1690,546,0,0,0,0,0,0,0
01566,3060,1644,1367,49,0,0,0,0,0,0,0
01568,3070,295,624,2030,121,0,0,0,0,0,0
01569,5277,1169,1930,2109,69,0,0,0,0,0,0
01570,6408,3047,2644,584,114,19,0,0,0,0,0
01571,5096,2585,2116,395,0,0,0,0,0,0,0
01581,5376,3561,1626,189,0,0,0,0,0,0,0
01583,2794,1625,839,329,1,0,0,0,0,0,0
01585,3078,1709,1341,28,0,0,0,0,0,0,0
01588,3184,832,1329,985,38,0,0,0,0,0,0
01590,4477,1620,1611,889,308,49,0,0,0,0,0
01602,6849,4486,2361,2,0,0,0,0,0,0,0
01603,4877,3300,1577,0,0,0,0,0,0,0,0
01604,9002,6678,2324,0,0,0,0,0,0,0,0
01605,5112,4772,340,0,0,0,0,0,0,0,0
01606,6659,6255,395,9,0,0,0,0,0,0,0
01607,2155,1444,692,19,0,0,0,0,0,0,0
01608,349,349,0,0,0,0,0,0,0,0,0
01609,3846,3445,397,4,0,0,0,0,0,0,0
01610,3304,2966,338,0,0,0,0,0,0,0,0
01611,1125,613,512,0,0,0,0,0,0,0,0
01612,1981,984,962,35,0,0,0,0,0,0,0
01701,11287,6766,2955,1462,100,4,0,0,0,0,0
01702,6703,3386,2326,991,0,0,0,0,0,0,0
01718,22,21,1,0,0,0,0,0,0,0,0
01719,1751,283,668,799,1,0,0,0,0,0,0
01720,6911,4100,2197,614,0,0,0,0,0,0,0
01721,4938,2199,1589,1120,30,0,0,0,0,0,0
01730,4401,2337,1321,726,17,0,0,0,0,0,0
01731,15,13,2,0,0,0,0,0,0,0,0
01740,2358,93,340,1706,219,0,0,0,0,0,0
01741,2142,66,550,1524,2,0,0,0,0,0,0
01742,6148,3623,1982,543,0,0,0,0,0,0,0
01745,179,87,92,0,0,0,0,0,0,0,0
01746,5728,1657,2145,1898,28,0,0,0,0,0,0
01747,2247,866,935,445,1,0,0,0,0,0,0
01748,5882,1702,2034,2122,24,0,0,0,0,0,0
01749,5895,2781,2266,834,14,0,0,0,0,0,0
01752,10201,6501,2287,1321,89,3,0,0,0,0,0
01754,3458,2639,677,142,0,0,0,0,0,0,0
01756,2813,268,661,1790,94,0,0,0,0,0,0
01757,8858,4558,3506,791,3,0,0,0,0,0,0
01760,11421,8242,2389,790,0,0,0,0,0,0,0
01770,1878,52,282,1485,59,0,0,0,0,0,0
01772,3567,1956,1342,269,0,0,0,0,0,0,0
01773,2331,309,748,1208,66,0,0,0,0,0,0
01775,2735,525,878,1223,104,5,0,0,0,0,0
01776,6599,2726,2268,1347,230,28,0,0,0,0,0
01778,5223,1994,1906,1305,18,0,0,0,0,0,0
01801,11410,9990,1348,72,0,0,0,0,0,0,0
01803,7614,6423,1033,158,0,0,0,0,0,0,0
01810,11093,6621,2758,1624,90,0,0,0,0,0,0
01821,10710,8627,1554,520,9,0,0,0,0,0,0
01824,8720,6612,1639,468,1,0,0,0,0,0,0
01826,10026,4797,2516,2595,118,0,0,0,0,0,0
01827,1511,73,232,1141,65,0,0,0,0,0,0
01830,7076,4466,1825,750,35,0,0,0,0,0,0
01832,5865,3642,800,1401,22,0,0,0,0,0,0
01833,3132,895,1015,1115,107,0,0,0,0,0,0
01834,2467,276,478,1549,164,0,0,0,0,0,0
01835,4056,2244,1584,213,15,0,0,0,0,0,0
01840,699,693,6,0,0,0,0,0,0,0,0
01841,6703,6233,470,0,0,0,0,0,0,0,0
01843,4770,3848,400,522,0,0,0,0,0,0,0
01844,14655,10090,3259,1302,4,0,0,0,0,0,0
01845,8336,3140,2721,2437,38,0,0,0,0,0,0
01850,3509,3335,172,2,0,0,0,0,0,0,0
01851,5855,5061,785,9,0,0,0,0,0,0,0
01852,7811,7568,243,0,0,0,0,0,0,0,0
01854,4927,3095,875,812,140,5,0,0,0,0,0
01860,2270,374,450,1407,39,0,0,0,0,0,0
01862,3582,1997,986,595,4,0,0,0,0,0,0
01863,2463,1793,515,151,4,0,0,0,0,0,0
01864,5379,2392,1528,1222,212,25,0,0,0,0,0
01867,7844,5548,2240,53,3,0,0,0,0,0,0
01876,9440,6907,2121,407,5,0,0,0,0,0,0
01879,4129,1435,1182,1463,49,0,0,0,0,0,0
01880,8566,5621,2409,527,9,0,0,0,0,0,0
01886,8092,3518,2339,2143,92,0,0,0,0,0,0
01887,9129,4797,3095,1227,10,0,0,0,0,0,0
01890,6862,3627,1803,1216,216,0,0,0,0,0,0
01901,237,237,0,0,0,0,0,0,0,0,0
01902,7787,6154,1623,10,0,0,0,0,0,0,0
01904,6087,3263,2567,257,0,0,0,0,0,0,0
01905,5216,2031,2887,298,0,0,0,0,0,0,0
01906,9707,6518,1654,1512,18,5,0,0,0,0,0
01907,4638,3157,1467,14,0,0,0,0,0,0,0
01908,1398,1391,7,0,0,0,0,0,0,0,0
01913,5208,2859,954,1294,101,0,0,0,0,0,0
01915,11392,9485,1843,64,0,0,0,0,0,0,0
01921,3186,144,713,2052,256,21,0,0,0,0,0
01922,1180,142,353,672,13,0,0,0,0,0,0
01923,7973,7108,647,217,1,0,0,0,0,0,0
01929,2048,994,865,176,13,0,0,0,0,0,0
01930,13015,9587,1759,1526,143,0,0,0,0,0,0
01937,1,1,0,0,0,0,0,0,0,0,0
01938,5325,2867,1105,1182,171,0,0,0,0,0,0
01940,4435,1608,1539,1204,83,1,0,0,0,0,0
01944,2344,1852,361,115,16,0,0,0,0,0,0
01945,7926,7514,412,0,0,0,0,0,0,0,0
01949,2943,494,688,1473,270,18,0,0,0,0,0
01950,6475,2988,3217,270,0,0,0,0,0,0,0
01951,2258,1060,821,377,0,0,0,0,0,0,0
01952,4355,1025,936,2371,23,0,0,0,0,0,0
01960,14302,10390,3674,238,0,0,0,0,0,0,0
01965,176,111,60,5,0,0,0,0,0,0,0
01966,3995,2723,439,744,89,0,0,0,0,0,0
01969,2654,755,1058,839,2,0,0,0,0,0,0
01970,9641,5825,3755,61,0,0,0,0,0,0,0
01982,2832,1921,811,100,0,0,0,0,0,0,0
01983,2324,430,784,1101,9,0,0,0,0,0,0
01984,1474,863,528,83,0,0,0,0,0,0,0
01985,1944,311,671,940,22,0,0,0,0,0,0
02019,6114,2080,2114,1886,34,0,0,0,0,0,0
02021,7077,1993,2292,2560,198,34,0,0,0,0,0
02025,3184,2098,993,93,0,0,0,0,0,0,0
02026,8618,4293,2765,1559,1,0,0,0,0,0,0
02030,2506,77,361,1418,620,30,0,0,0,0,0
02032,1562,760,511,282,9,0,0,0,0,0,0
02035,5981,1139,1594,2881,328,39,0,0,0,0,0
02038,9801,2567,3133,3964,137,0,0,0,0,0,0
02043,7615,2972,2394,2023,221,5,0,0,0,0,0
02045,4794,4689,103,2,0,0,0,0,0,0,0
02047,608,397,211,0,0,0,0,0,0,0,0
02048,7293,3904,2698,691,0,0,0,0,0,0,0
02050,11987,5773,3804,2381,29,0,0,0,0,0,0
02052,4305,730,1320,2017,203,35,0,0,0,0,0
02053,4796,1134,1613,2036,13,0,0,0,0,0,0
02054,3155,794,868,1484,9,0,0,0,0,0,0
02056,3939,333,900,2509,197,0,0,0,0,0,0
02061,4421,857,1811,1569,179,5,0,0,0,0,0
02062,8100,3262,2701,2137,0,0,0,0,0,0,0
02066,7920,5286,2224,407,3,0,0,0,0,0,0
02067,6476,1260,1635,3138,409,34,0,0,0,0,0
02071,340,4,36,300,0,0,0,0,0,0,0
02072,9376,1604,2583,4747,428,14,0,0,0,0,0
02081,6812,1636,2177,2875,124,0,0,0,0,0,0
02090,5156,872,940,3059,277,8,0,0,0,0,0
02093,4565,765,1145,2369,255,31,0,0,0,0,0
02108,622,616,6,0,0,0,0,0,0,0,0
02109,356,353,3,0,0,0,0,0,0,0,0
02110,180,179,1,0,0,0,0,0,0,0,0
02111,439,439,0,0,0,0,0,0,0,0,0
02113,916,916,0,0,0,0,0,0,0,0,0
02114,1071,1064,7,0,0,0,0,0,0,0,0
02115,1218,1212,6,0,0,0,0,0,0,0,0
02116,2144,2144,0,0,0,0,0,0,0,0,0
02118,2322,2322,0,0,0,0,0,0,0,0,0
02119,4777,4775,2,0,0,0,0,0,0,0,0
02120,1370,1368,2,0,0,0,0,0,0,0,0
02121,3744,3744,0,0,0,0,0,0,0,0,0
02122,4635,4629,5,1,0,0,0,0,0,0,0
02124,9071,9057,13,1,0,0,0,0,0,0,0
02125,5496,5492,4,0,0,0,0,0,0,0,0
02126,4533,4501,32,0,0,0,0,0,0,0,0
02127,6293,6293,0,0,0,0,0,0,0,0,0
02128,6518,6513,5,0,0,0,0,0,0,0,0
02129,3075,3067,8,0,0,0,0,0,0,0,0
02130,6445,6368,75,2,0,0,0,0,0,0,0
02131,6883,6872,11,0,0,0,0,0,0,0,0
02132,9580,5980,3552,48,0,0,0,0,0,0,0
02133,10,10,0,0,0,0,0,0,0,0,0
02134,2142,2141,1,0,0,0,0,0,0,0,0
02135,5262,5260,2,0,0,0,0,0,0,0,0
02136,8214,5931,2276,7,0,0,0,0,0,0,0
02138,4611,4608,3,0,0,0,0,0,0,0,0
02139,3921,3918,3,0,0,0,0,0,0,0,0
02140,2623,2621,2,0,0,0,0,0,0,0,0
02141,1644,1644,0,0,0,0,0,0,0,0,0
02142,119,119,0,0,0,0,0,0,0,0,0
02143,4374,4374,0,0,0,0,0,0,0,0,0
02144,4606,4532,74,0,0,0,0,0,0,0,0
02145,4306,4306,0,0,0,0,0,0,0,0,0
02148,11595,11188,405,2,0,0,0,0,0,0,0
02149,7904,7899,5,0,0,0,0,0,0,0,0
02150,4869,4869,0,0,0,0,0,0,0,0,0
02151,12772,12646,81,45,0,0,0,0,0,0,0
02152,4588,4586,2,0,0,0,0,0,0,0,0
02155,14810,6865,7771,174,0,0,0,0,0,0,0
02163,7,7,0,0,0,0,0,0,0,0,0
02169,12461,8988,2646,818,9,0,0,0,0,0,0
02170,4843,4804,34,5,0,0,0,0,0,0,0
02171,3966,3948,11,7,0,0,0,0,0,0,0
02176,8418,7179,1131,108,0,0,0,0,0,0,0
02180,6318,4611,1573,133,1,0,0,0,0,0,0
02184,11653,7410,3127,1114,2,0,0,0,0,0,0
02186,8530,4471,3079,854,117,9,0,0,0,0,0
02188,4241,2971,977,290,3,0,0,0,0,0,0
02189,4223,2151,1713,358,1,0,0,0,0,0,0
02190,5368,1182,1862,2247,77,0,0,0,0,0,0
02191,3041,1281,1194,566,0,0,0,0,0,0,0
02199,13,13,0,0,0,0,0,0,0,0,0
02203,1,0,1,0,0,0,0,0,0,0,0
02205,8,8,0,0,0,0,0,0,0,0,0
02210,353,353,0,0,0,0,0,0,0,0,0
02215,886,885,1,0,0,0,0,0,0,0,0
02301,14547,9322,2949,2228,48,0,0,0,0,0,0
02302,10579,3856,2967,3604,152,0,0,0,0,0,0
02322,1929,479,595,783,72,0,0,0,0,0,0
02324,8056,3093,3261,1655,47,0,0,0,0,0,0
02325,45,27,16,2,0,0,0,0,0,0,0
02330,4614,1114,2400,1095,5,0,0,0,0,0,0
02332,6231,1503,2044,2667,17,0,0,0,0,0,0
02333,6066,1021,1728,3183,134,0,0,0,0,0,0
02338,3041,833,1053,1145,10,0,0,0,0,0,0
02339,5165,1669,1938,1493,65,0,0,0,0,0,0
02341,3971,473,1091,2349,58,0,0,0,0,0,0
02343,4824,791,1186,2734,106,7,0,0,0,0,0
02346,9360,2298,4411,2638,13,0,0,0,0,0,0
02347,5051,2354,2469,228,0,0,0,0,0,0,0
02350,121,67,40,14,0,0,0,0,0,0,0
02351,5202,603,1046,3222,298,33,0,0,0,0,0
02356,4510,983,1699,1784,44,0,0,0,0,0,0
02357,1,1,0,0,0,0,0,0,0,0,0
02359,6674,3189,2750,732,3,0,0,0,0,0,0
02360,26052,8028,5634,8801,3047,542,0,0,0,0,0
02364,5488,1604,1687,2111,75,11,0,0,0,0,0
02366,,0,0,0,0,0,0,0,0,0,0
02367,1399,127,542,729,1,0,0,0,0,0,0
02368,9272,3481,2955,2721,114,1,0,0,0,0,0
02370,5268,599,1109,3173,368,19,0,0,0,0,0
02375,3446,1180,1646,613,7,0,0,0,0,0,0
02379,3146,884,1146,1099,17,0,0,0,0,0,0
02382,4720,725,1376,2545,73,1,0,0,0,0,0
02420,5018,4095,803,120,0,0,0,0,0,0,0
02421,6357,4581,1277,499,0,0,0,0,0,0,0
02445,3381,3195,165,21,0,0,0,0,0,0,0
02446,2805,2788,17,0,0,0,0,0,0,0,0
02451,5020,2632,2206,182,0,0,0,0,0,0,0
02452,2348,1735,241,369,3,0,0,0,0,0,0
02453,5951,4082,1835,34,0,0,0,0,0,0,0
02457,4,0,0,4,0,0,0,0,0,0,0
02458,3409,3387,22,0,0,0,0,0,0,0,0
02459,5706,4970,680,56,0,0,0,0,0,0,0
02460,2450,2435,15,0,0,0,0,0,0,0,0
02461,2383,2143,234,6,0,0,0,0,0,0,0
02462,494,462,32,0,0,0,0,0,0,0,0
02464,770,370,399,1,0,0,0,0,0,0,0
02465,3873,3846,27,0,0,0,0,0,0,0,0
02466,1833,1778,55,0,0,0,0,0,0,0,0
02467,3686,3182,448,56,0,0,0,0,0,0,0
02468,2046,1929,117,0,0,0,0,0,0,0,0
02472,7732,7722,10,0,0,0,0,0,0,0,0
02474,7472,7329,143,0,0,0,0,0,0,0,0
02476,5134,5121,13,0,0,0,0,0,0,0,0
02478,7292,6952,190,150,0,0,0,0,0,0,0
02481,5033,3326,1415,292,0,0,0,0,0,0,0
02482,3340,1917,841,575,7,0,0,0,0,0,0
02492,6767,1640,1543,3381,203,0,0,0,0,0,0
02493,4068,1164,1751,1123,30,0,0,0,0,0,0
02494,3010,1284,796,930,0,0,0,0,0,0,0
02532,6324,3283,1052,1813,176,0,0,0,0,0,0
02534,945,206,440,262,37,0,0,0,0,0,0
02535,3583,2333,1192,58,0,0,0,0,0,0,0
02536,13173,7448,4567,1054,94,10,0,0,0,0,0
02537,3732,839,1220,1462,208,3,0,0,0,0,0
02538,2219,107,221,1124,593,166,8,0,0,0,0
02539,6301,4185,1941,175,0,0,0,0,0,0,0
02540,6089,3285,2477,327,0,0,0,0,0,0,0
02542,7,0,2,2,2,1,0,0,0,0,0
02543,928,735,193,0,0,0,0,0,0,0,0
02553,154,137,17,0,0,0,0,0,0,0,0
02554,12102,6273,5678,151,0,0,0,0,0,0,0
02556,3002,1520,1092,320,70,0,0,0,0,0,0
02557,2986,2591,365,30,0,0,0,0,0,0,0
02558,1693,765,692,236,0,0,0,0,0,0,0
02559,2837,1414,612,686,124,1,0,0,0,0,0
02561,355,20,81,218,36,0,0,0,0,0,0
02562,1793,968,702,118,5,0,0,0,0,0,0
02563,5021,1511,1488,1791,231,0,0,0,0,0,0
02564,1448,1238,207,3,0,0,0,0,0,0,0
02568,5701,2399,3163,139,0,0,0,0,0,0,0
